epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.5523,0.0000,0.5769,0.1013,0.6036,0.0000,0.6726,0.1018
1,0.6366,0.0000,0.6700,0.0829,0.6430,0.0000,0.6402,0.0948
2,0.6646,0.0000,0.6933,0.0787,0.6169,0.0000,0.7100,0.1014
3,0.6732,0.0000,0.7027,0.0773,0.6495,0.0000,0.6177,0.0937
4,0.6762,0.0000,0.7068,0.0768,0.6543,0.0000,0.6789,0.0939
5,0.6852,0.0000,0.7175,0.0753,0.6642,0.0000,0.7102,0.0922
6,0.6961,0.0000,0.7275,0.0734,0.6712,0.0000,0.7215,0.0914
7,0.7064,0.0000,0.7378,0.0716,0.6762,0.0000,0.7027,0.0888
8,0.7116,0.0000,0.7414,0.0708,0.6910,0.0000,0.6964,0.0868
9,0.7155,0.0000,0.7441,0.0698,0.6669,0.0000,0.7251,0.0925
10,0.7194,0.0000,0.7476,0.0689,0.6810,0.0000,0.7333,0.0874
11,0.7235,0.0000,0.7506,0.0680,0.6979,0.0000,0.7162,0.0853
12,0.7295,0.0000,0.7554,0.0668,0.6936,0.0000,0.7192,0.0849
13,0.7323,0.0000,0.7583,0.0658,0.6377,0.0000,0.5224,0.0971
14,0.7359,0.0000,0.7606,0.0649,0.7052,0.0000,0.7342,0.0823
15,0.7386,0.0000,0.7648,0.0641,0.7047,0.0000,0.7147,0.0880
16,0.7422,0.0000,0.7669,0.0631,0.6855,0.0000,0.7361,0.0861
17,0.7458,0.0000,0.7706,0.0622,0.7035,0.0000,0.7181,0.0845
18,0.7475,0.0000,0.7720,0.0617,0.6934,0.0000,0.7461,0.0948
19,0.7505,0.0000,0.7739,0.0611,0.7016,0.0000,0.7481,0.0836
20,0.7534,0.0000,0.7770,0.0605,0.7046,0.0000,0.7254,0.0827
21,0.7547,0.0000,0.7773,0.0602,0.7010,0.0000,0.6954,0.0823
22,0.7569,0.0000,0.7797,0.0596,0.7049,0.0000,0.7230,0.0818
23,0.7584,0.0000,0.7815,0.0592,0.7097,0.0000,0.7084,0.0802
24,0.7591,0.0000,0.7804,0.0590,0.7017,0.0000,0.6878,0.0840
25,0.7621,0.0000,0.7834,0.0583,0.7030,0.0000,0.6868,0.0820
26,0.7630,0.0000,0.7849,0.0582,0.7171,0.0000,0.7175,0.0790
27,0.7638,0.0000,0.7845,0.0579,0.7149,0.0000,0.7298,0.0794
28,0.7635,0.0000,0.7851,0.0581,0.7129,0.0000,0.7241,0.0795
29,0.7672,0.0000,0.7887,0.0572,0.7172,0.0000,0.7286,0.0790
30,0.7697,0.0000,0.7900,0.0567,0.7038,0.0000,0.7463,0.0852
31,0.7703,0.0000,0.7906,0.0566,0.6886,0.0000,0.6366,0.0873
32,0.7710,0.0000,0.7905,0.0565,0.7060,0.0000,0.7383,0.0837
33,0.7731,0.0000,0.7928,0.0560,0.7187,0.0000,0.7302,0.0792
34,0.7743,0.0000,0.7934,0.0556,0.7116,0.0000,0.7341,0.0837
35,0.7750,0.0000,0.7943,0.0556,0.7119,0.0000,0.7065,0.0830
36,0.7774,0.0000,0.7971,0.0548,0.7146,0.0000,0.7201,0.0789
37,0.7792,0.0000,0.7982,0.0545,0.6995,0.0000,0.6717,0.0866
38,0.7804,0.0000,0.7991,0.0541,0.7228,0.0000,0.7367,0.0788
39,0.7811,0.0000,0.7992,0.0539,0.7188,0.0000,0.7399,0.0821
40,0.7828,0.0000,0.8008,0.0537,0.7209,0.0000,0.7437,0.0791
41,0.7833,0.0000,0.8013,0.0537,0.6898,0.0000,0.6368,0.0852
42,0.7846,0.0000,0.8016,0.0533,0.7225,0.0000,0.7319,0.0779
43,0.7859,0.0000,0.8033,0.0530,0.7091,0.0000,0.6893,0.0812
44,0.7859,0.0000,0.8032,0.0528,0.7178,0.0000,0.7131,0.0800
45,0.7878,0.0000,0.8053,0.0526,0.7224,0.0000,0.7475,0.0792
46,0.7896,0.0000,0.8066,0.0522,0.7187,0.0000,0.7311,0.0809
47,0.7885,0.0000,0.8059,0.0524,0.7268,0.0000,0.7432,0.0776
48,0.7907,0.0000,0.8074,0.0519,0.7233,0.0000,0.7409,0.0789
49,0.7920,0.0000,0.8087,0.0517,0.7208,0.0000,0.7478,0.0789
