epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6197,0.0000,0.6209,0.0938,0.5957,0.0000,0.6950,0.1111
1,0.6615,0.0000,0.6886,0.0797,0.6097,0.0000,0.7009,0.1053
2,0.6716,0.0000,0.6998,0.0782,0.6543,0.0000,0.6760,0.0937
3,0.6763,0.0000,0.7027,0.0773,0.6520,0.0000,0.6415,0.0939
4,0.6828,0.0000,0.7069,0.0764,0.6626,0.0000,0.6832,0.0919
5,0.6868,0.0000,0.7117,0.0757,0.6254,0.0000,0.5278,0.0974
6,0.6906,0.0000,0.7128,0.0750,0.6590,0.0000,0.6984,0.0944
7,0.6932,0.0000,0.7172,0.0745,0.6656,0.0000,0.6489,0.0920
8,0.6989,0.0000,0.7230,0.0734,0.6668,0.0000,0.6715,0.0915
9,0.7040,0.0000,0.7265,0.0726,0.6731,0.0000,0.6889,0.0902
10,0.7052,0.0000,0.7282,0.0722,0.6702,0.0000,0.6586,0.0901
11,0.7101,0.0000,0.7324,0.0712,0.6743,0.0000,0.6866,0.0916
12,0.7136,0.0000,0.7365,0.0704,0.6487,0.0000,0.7111,0.0988
13,0.7191,0.0000,0.7426,0.0693,0.6868,0.0000,0.6918,0.0878
14,0.7227,0.0000,0.7459,0.0685,0.6812,0.0000,0.7044,0.0887
15,0.7263,0.0000,0.7491,0.0677,0.6824,0.0000,0.7098,0.0894
16,0.7305,0.0000,0.7529,0.0670,0.6878,0.0000,0.7187,0.0876
17,0.7328,0.0000,0.7557,0.0662,0.6854,0.0000,0.6951,0.0890
18,0.7366,0.0000,0.7589,0.0655,0.6854,0.0000,0.6710,0.0881
19,0.7390,0.0000,0.7613,0.0649,0.6920,0.0000,0.6951,0.0864
20,0.7410,0.0000,0.7624,0.0646,0.6787,0.0000,0.6522,0.0907
21,0.7442,0.0000,0.7657,0.0639,0.6925,0.0000,0.7196,0.0864
22,0.7464,0.0000,0.7676,0.0634,0.6972,0.0000,0.7225,0.0865
23,0.7491,0.0000,0.7696,0.0629,0.6975,0.0000,0.7216,0.0846
24,0.7506,0.0000,0.7714,0.0626,0.6737,0.0000,0.7280,0.0924
25,0.7544,0.0000,0.7750,0.0617,0.6963,0.0000,0.7063,0.0848
26,0.7564,0.0000,0.7763,0.0613,0.6926,0.0000,0.7313,0.0884
27,0.7590,0.0000,0.7790,0.0608,0.7037,0.0000,0.7279,0.0842
28,0.7604,0.0000,0.7800,0.0604,0.7063,0.0000,0.7143,0.0829
29,0.7616,0.0000,0.7808,0.0603,0.7016,0.0000,0.7008,0.0867
30,0.7652,0.0000,0.7837,0.0596,0.6980,0.0000,0.7307,0.0872
31,0.7661,0.0000,0.7852,0.0593,0.7072,0.0000,0.7258,0.0835
32,0.7680,0.0000,0.7864,0.0588,0.7080,0.0000,0.7084,0.0829
33,0.7689,0.0000,0.7870,0.0588,0.6979,0.0000,0.6871,0.0843
34,0.7693,0.0000,0.7873,0.0583,0.7102,0.0000,0.7430,0.0863
35,0.7724,0.0000,0.7905,0.0579,0.7069,0.0000,0.7255,0.0837
36,0.7735,0.0000,0.7910,0.0577,0.6958,0.0000,0.7393,0.0886
37,0.7740,0.0000,0.7921,0.0574,0.7106,0.0000,0.7155,0.0841
38,0.7759,0.0000,0.7936,0.0571,0.7105,0.0000,0.7151,0.0829
39,0.7764,0.0000,0.7936,0.0569,0.7112,0.0000,0.7129,0.0834
40,0.7765,0.0000,0.7937,0.0569,0.7075,0.0000,0.7319,0.0834
41,0.7784,0.0000,0.7954,0.0565,0.7186,0.0000,0.7397,0.0833
42,0.7794,0.0000,0.7960,0.0562,0.7048,0.0000,0.7290,0.0838
43,0.7820,0.0000,0.7988,0.0558,0.7144,0.0000,0.7386,0.0843
44,0.7828,0.0000,0.7991,0.0556,0.7133,0.0000,0.7232,0.0823
45,0.7838,0.0000,0.7999,0.0553,0.7176,0.0000,0.7370,0.0825
46,0.7848,0.0000,0.8012,0.0551,0.7136,0.0000,0.7395,0.0836
47,0.7857,0.0000,0.8017,0.0548,0.7076,0.0000,0.7456,0.0867
48,0.7871,0.0000,0.8031,0.0545,0.7145,0.0000,0.7134,0.0832
49,0.7872,0.0000,0.8030,0.0546,0.7165,0.0000,0.7306,0.0822
