epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6113,0.0000,0.5886,0.1278,0.6225,0.0000,0.6090,0.1287
1,0.7003,0.0000,0.7045,0.0841,0.6479,0.0000,0.6323,0.1115
2,0.7399,0.0000,0.7483,0.0720,0.6680,0.0000,0.6639,0.1033
3,0.7621,0.0000,0.7734,0.0654,0.6720,0.0000,0.6841,0.1030
4,0.7736,0.0000,0.7856,0.0617,0.6756,0.0000,0.6774,0.1024
5,0.7827,0.0000,0.7949,0.0593,0.6812,0.0000,0.6813,0.0977
6,0.7909,0.0000,0.8030,0.0573,0.6796,0.0000,0.6918,0.1015
7,0.7965,0.0000,0.8088,0.0558,0.6817,0.0000,0.6745,0.0961
8,0.8006,0.0000,0.8128,0.0548,0.6876,0.0000,0.6849,0.0972
9,0.8069,0.0000,0.8188,0.0536,0.6864,0.0000,0.6918,0.0981
10,0.8086,0.0000,0.8205,0.0532,0.6864,0.0000,0.6876,0.0986
11,0.8104,0.0000,0.8221,0.0530,0.6880,0.0000,0.6859,0.0992
12,0.8125,0.0000,0.8238,0.0526,0.6873,0.0000,0.7018,0.1022
13,0.8147,0.0000,0.8263,0.0522,0.6925,0.0000,0.6960,0.0975
14,0.8179,0.0000,0.8294,0.0517,0.6870,0.0000,0.6944,0.1013
15,0.8182,0.0000,0.8296,0.0515,0.6863,0.0000,0.6879,0.0999
16,0.8209,0.0000,0.8322,0.0509,0.6861,0.0000,0.6843,0.1003
17,0.8220,0.0000,0.8330,0.0508,0.6919,0.0000,0.6965,0.0983
18,0.8222,0.0000,0.8332,0.0509,0.6908,0.0000,0.7033,0.1028
19,0.8224,0.0000,0.8335,0.0508,0.6870,0.0000,0.6868,0.1009
20,0.8242,0.0000,0.8353,0.0505,0.6829,0.0000,0.6712,0.1014
21,0.8251,0.0000,0.8359,0.0503,0.6879,0.0000,0.6945,0.1022
22,0.8269,0.0000,0.8378,0.0499,0.6872,0.0000,0.6866,0.0995
23,0.8276,0.0000,0.8384,0.0498,0.6872,0.0000,0.6865,0.1015
24,0.8283,0.0000,0.8392,0.0496,0.6919,0.0000,0.6928,0.0991
25,0.8284,0.0000,0.8390,0.0496,0.6943,0.0000,0.6985,0.0982
26,0.8309,0.0000,0.8415,0.0492,0.6924,0.0000,0.7003,0.1014
27,0.8306,0.0000,0.8414,0.0493,0.6875,0.0000,0.6835,0.1028
28,0.8315,0.0000,0.8419,0.0490,0.6904,0.0000,0.6994,0.1035
29,0.8338,0.0000,0.8443,0.0486,0.6931,0.0000,0.6952,0.1008
30,0.8335,0.0000,0.8440,0.0487,0.6902,0.0000,0.6905,0.1021
31,0.8339,0.0000,0.8445,0.0486,0.6925,0.0000,0.6904,0.1011
32,0.8347,0.0000,0.8447,0.0485,0.6927,0.0000,0.6980,0.1026
33,0.8365,0.0000,0.8470,0.0482,0.6947,0.0000,0.6978,0.1019
34,0.8370,0.0000,0.8472,0.0481,0.6932,0.0000,0.6957,0.1037
35,0.8366,0.0000,0.8470,0.0482,0.6933,0.0000,0.6928,0.1015
36,0.8381,0.0000,0.8482,0.0480,0.6916,0.0000,0.6975,0.1046
37,0.8371,0.0000,0.8474,0.0482,0.6917,0.0000,0.6851,0.1027
