epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.5495,0.0000,0.4713,0.1717,0.5479,0.0000,0.4688,0.1995
1,0.5984,0.0000,0.5723,0.1477,0.5884,0.0000,0.5275,0.1624
2,0.7039,0.0000,0.6973,0.0904,0.6546,0.0000,0.6267,0.1176
3,0.7862,0.0000,0.7878,0.0650,0.6773,0.0000,0.6559,0.1115
4,0.8301,0.0000,0.8321,0.0538,0.6797,0.0000,0.6607,0.1140
5,0.8570,0.0000,0.8590,0.0468,0.6816,0.0000,0.6622,0.1177
6,0.8723,0.0000,0.8744,0.0426,0.6794,0.0000,0.6594,0.1207
7,0.8818,0.0000,0.8838,0.0401,0.6774,0.0000,0.6576,0.1244
8,0.8890,0.0000,0.8909,0.0381,0.6814,0.0000,0.6621,0.1247
9,0.8950,0.0000,0.8970,0.0362,0.6818,0.0000,0.6639,0.1255
10,0.8994,0.0000,0.9013,0.0350,0.6809,0.0000,0.6650,0.1273
11,0.9017,0.0000,0.9037,0.0343,0.6823,0.0000,0.6683,0.1275
12,0.9035,0.0000,0.9054,0.0336,0.6800,0.0000,0.6631,0.1287
13,0.9071,0.0000,0.9090,0.0326,0.6806,0.0000,0.6645,0.1293
14,0.9090,0.0000,0.9110,0.0320,0.6798,0.0000,0.6640,0.1300
15,0.9113,0.0000,0.9133,0.0313,0.6778,0.0000,0.6642,0.1305
16,0.9146,0.0000,0.9165,0.0304,0.6831,0.0000,0.6683,0.1297
17,0.9148,0.0000,0.9169,0.0303,0.6804,0.0000,0.6646,0.1308
18,0.9161,0.0000,0.9180,0.0299,0.6817,0.0000,0.6684,0.1306
19,0.9167,0.0000,0.9186,0.0297,0.6790,0.0000,0.6617,0.1320
20,0.9173,0.0000,0.9192,0.0295,0.6833,0.0000,0.6676,0.1314
21,0.9186,0.0000,0.9205,0.0291,0.6794,0.0000,0.6641,0.1325
22,0.9190,0.0000,0.9209,0.0290,0.6783,0.0000,0.6646,0.1339
23,0.9191,0.0000,0.9210,0.0289,0.6792,0.0000,0.6642,0.1333
24,0.9203,0.0000,0.9222,0.0286,0.6771,0.0000,0.6618,0.1337
25,0.9208,0.0000,0.9226,0.0285,0.6789,0.0000,0.6640,0.1337
26,0.9203,0.0000,0.9221,0.0286,0.6754,0.0000,0.6593,0.1358
27,0.9219,0.0000,0.9237,0.0281,0.6791,0.0000,0.6645,0.1341
28,0.9238,0.0000,0.9255,0.0275,0.6784,0.0000,0.6627,0.1347
29,0.9247,0.0000,0.9264,0.0274,0.6757,0.0000,0.6597,0.1356
30,0.9230,0.0000,0.9248,0.0278,0.6794,0.0000,0.6641,0.1348
31,0.9239,0.0000,0.9257,0.0274,0.6792,0.0000,0.6639,0.1346
32,0.9248,0.0000,0.9265,0.0272,0.6754,0.0000,0.6604,0.1366
33,0.9243,0.0000,0.9261,0.0274,0.6775,0.0000,0.6627,0.1359
