epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7311,0.0000,0.7488,0.2171,0.6916,0.0000,0.6870,0.2440
1,0.7997,0.0000,0.8182,0.1569,0.7427,0.0000,0.7386,0.1728
2,0.8768,0.0000,0.8907,0.0856,0.7935,0.0000,0.7880,0.1225
3,0.9329,0.0000,0.9405,0.0454,0.8347,0.0000,0.8304,0.1032
4,0.9563,0.0000,0.9613,0.0311,0.8363,0.0000,0.8308,0.1014
5,0.9666,0.0000,0.9705,0.0246,0.8351,0.0000,0.8295,0.1041
6,0.9729,0.0000,0.9760,0.0207,0.8305,0.0000,0.8226,0.1054
7,0.9770,0.0000,0.9796,0.0179,0.8455,0.0000,0.8366,0.1048
8,0.9796,0.0000,0.9819,0.0162,0.8359,0.0000,0.8251,0.1114
9,0.9817,0.0000,0.9838,0.0146,0.8380,0.0000,0.8313,0.1089
10,0.9827,0.0000,0.9847,0.0138,0.8397,0.0000,0.8325,0.1086
11,0.9836,0.0000,0.9855,0.0132,0.8370,0.0000,0.8271,0.1097
12,0.9841,0.0000,0.9859,0.0128,0.8365,0.0000,0.8260,0.1132
13,0.9845,0.0000,0.9863,0.0125,0.8342,0.0000,0.8247,0.1131
14,0.9847,0.0000,0.9865,0.0123,0.8420,0.0000,0.8345,0.1124
15,0.9849,0.0000,0.9866,0.0121,0.8397,0.0000,0.8306,0.1120
16,0.9851,0.0000,0.9868,0.0119,0.8386,0.0000,0.8323,0.1117
17,0.9855,0.0000,0.9871,0.0117,0.8405,0.0000,0.8331,0.1112
18,0.9855,0.0000,0.9872,0.0117,0.8373,0.0000,0.8325,0.1152
19,0.9856,0.0000,0.9872,0.0116,0.8409,0.0000,0.8347,0.1148
20,0.9860,0.0000,0.9876,0.0113,0.8330,0.0000,0.8274,0.1188
21,0.9860,0.0000,0.9876,0.0113,0.8435,0.0000,0.8376,0.1156
22,0.9860,0.0000,0.9876,0.0113,0.8405,0.0000,0.8304,0.1136
23,0.9862,0.0000,0.9878,0.0111,0.8316,0.0000,0.8244,0.1183
24,0.9865,0.0000,0.9880,0.0110,0.8359,0.0000,0.8305,0.1182
25,0.9863,0.0000,0.9878,0.0110,0.8384,0.0000,0.8305,0.1168
26,0.9865,0.0000,0.9881,0.0109,0.8355,0.0000,0.8265,0.1180
27,0.9864,0.0000,0.9879,0.0110,0.8324,0.0000,0.8256,0.1211
28,0.9865,0.0000,0.9881,0.0108,0.8331,0.0000,0.8265,0.1197
29,0.9864,0.0000,0.9880,0.0110,0.8342,0.0000,0.8272,0.1195
30,0.9861,0.0000,0.9877,0.0111,0.8409,0.0000,0.8326,0.1133
31,0.9859,0.0000,0.9875,0.0112,0.8292,0.0000,0.8174,0.1225
32,0.9862,0.0000,0.9878,0.0111,0.8415,0.0000,0.8331,0.1163
33,0.9862,0.0000,0.9877,0.0111,0.8337,0.0000,0.8257,0.1175
34,0.9860,0.0000,0.9876,0.0112,0.8284,0.0000,0.8205,0.1226
