epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7801,0.0000,0.8003,0.1621,0.7266,0.0000,0.7191,0.1718
1,0.8681,0.0000,0.8824,0.0926,0.7795,0.0000,0.7681,0.1443
2,0.9165,0.0000,0.9259,0.0596,0.7983,0.0000,0.7853,0.1321
3,0.9412,0.0000,0.9477,0.0434,0.8073,0.0000,0.7970,0.1279
4,0.9571,0.0000,0.9620,0.0326,0.8187,0.0000,0.8110,0.1241
5,0.9662,0.0000,0.9702,0.0262,0.8078,0.0000,0.7960,0.1292
6,0.9714,0.0000,0.9747,0.0228,0.8078,0.0000,0.8017,0.1330
7,0.9740,0.0000,0.9771,0.0208,0.8126,0.0000,0.8047,0.1330
8,0.9763,0.0000,0.9790,0.0191,0.8123,0.0000,0.8040,0.1356
9,0.9776,0.0000,0.9802,0.0181,0.8113,0.0000,0.8034,0.1334
10,0.9781,0.0000,0.9807,0.0176,0.8089,0.0000,0.8014,0.1381
11,0.9790,0.0000,0.9814,0.0170,0.8147,0.0000,0.8072,0.1359
12,0.9795,0.0000,0.9818,0.0166,0.8075,0.0000,0.7960,0.1411
13,0.9797,0.0000,0.9820,0.0164,0.8121,0.0000,0.8032,0.1389
14,0.9801,0.0000,0.9824,0.0161,0.8084,0.0000,0.7982,0.1416
15,0.9802,0.0000,0.9825,0.0159,0.8087,0.0000,0.7980,0.1423
16,0.9807,0.0000,0.9829,0.0157,0.8078,0.0000,0.7976,0.1412
17,0.9807,0.0000,0.9829,0.0157,0.8103,0.0000,0.7993,0.1421
18,0.9807,0.0000,0.9830,0.0155,0.8120,0.0000,0.8038,0.1420
19,0.9809,0.0000,0.9832,0.0155,0.8063,0.0000,0.7998,0.1418
20,0.9809,0.0000,0.9831,0.0155,0.8071,0.0000,0.7935,0.1439
21,0.9810,0.0000,0.9832,0.0154,0.8049,0.0000,0.7951,0.1462
22,0.9811,0.0000,0.9833,0.0153,0.8091,0.0000,0.8006,0.1439
23,0.9813,0.0000,0.9835,0.0152,0.8122,0.0000,0.8041,0.1407
24,0.9813,0.0000,0.9835,0.0152,0.8094,0.0000,0.8013,0.1449
25,0.9812,0.0000,0.9834,0.0152,0.8109,0.0000,0.8019,0.1426
26,0.9814,0.0000,0.9836,0.0151,0.8147,0.0000,0.8076,0.1384
27,0.9814,0.0000,0.9836,0.0151,0.8074,0.0000,0.7959,0.1456
28,0.9814,0.0000,0.9836,0.0151,0.8077,0.0000,0.7975,0.1415
29,0.9814,0.0000,0.9835,0.0151,0.8100,0.0000,0.7998,0.1411
30,0.9815,0.0000,0.9836,0.0150,0.8088,0.0000,0.7981,0.1448
31,0.9815,0.0000,0.9837,0.0150,0.8132,0.0000,0.8024,0.1408
32,0.9810,0.0000,0.9832,0.0153,0.8089,0.0000,0.7994,0.1468
33,0.9810,0.0000,0.9832,0.0154,0.8106,0.0000,0.8012,0.1452
34,0.9808,0.0000,0.9830,0.0155,0.8060,0.0000,0.7938,0.1461
