epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7656,0.0000,0.7886,0.1658,0.7145,0.0000,0.7080,0.1800
1,0.8673,0.0000,0.8831,0.0824,0.7667,0.0000,0.7742,0.1388
2,0.9077,0.0000,0.9187,0.0589,0.7810,0.0000,0.7757,0.1349
3,0.9288,0.0000,0.9373,0.0472,0.7835,0.0000,0.7844,0.1316
4,0.9375,0.0000,0.9449,0.0417,0.7777,0.0000,0.7763,0.1343
5,0.9461,0.0000,0.9524,0.0367,0.7959,0.0000,0.7919,0.1254
6,0.9523,0.0000,0.9579,0.0330,0.7949,0.0000,0.7904,0.1324
7,0.9559,0.0000,0.9610,0.0308,0.8002,0.0000,0.7994,0.1309
8,0.9595,0.0000,0.9641,0.0284,0.8038,0.0000,0.8033,0.1273
9,0.9621,0.0000,0.9665,0.0267,0.7909,0.0000,0.7920,0.1349
10,0.9644,0.0000,0.9685,0.0254,0.7990,0.0000,0.7976,0.1411
11,0.9650,0.0000,0.9690,0.0249,0.8105,0.0000,0.8066,0.1309
12,0.9663,0.0000,0.9702,0.0240,0.8028,0.0000,0.8000,0.1347
13,0.9694,0.0000,0.9729,0.0221,0.8024,0.0000,0.7990,0.1327
14,0.9712,0.0000,0.9745,0.0209,0.8040,0.0000,0.7997,0.1316
15,0.9720,0.0000,0.9752,0.0204,0.8038,0.0000,0.8021,0.1324
16,0.9738,0.0000,0.9768,0.0194,0.8019,0.0000,0.7952,0.1302
17,0.9741,0.0000,0.9770,0.0191,0.8017,0.0000,0.7982,0.1373
18,0.9736,0.0000,0.9766,0.0193,0.8088,0.0000,0.8063,0.1324
19,0.9751,0.0000,0.9780,0.0184,0.8026,0.0000,0.7990,0.1368
20,0.9769,0.0000,0.9795,0.0174,0.8046,0.0000,0.7989,0.1349
21,0.9776,0.0000,0.9802,0.0170,0.8044,0.0000,0.7972,0.1363
22,0.9778,0.0000,0.9803,0.0168,0.8062,0.0000,0.7984,0.1341
23,0.9783,0.0000,0.9807,0.0165,0.8065,0.0000,0.8009,0.1346
24,0.9783,0.0000,0.9808,0.0163,0.7974,0.0000,0.7940,0.1414
25,0.9783,0.0000,0.9808,0.0164,0.8050,0.0000,0.7984,0.1372
26,0.9775,0.0000,0.9800,0.0168,0.8059,0.0000,0.8021,0.1384
27,0.9777,0.0000,0.9802,0.0167,0.7941,0.0000,0.7876,0.1461
28,0.9787,0.0000,0.9811,0.0162,0.8028,0.0000,0.7998,0.1408
29,0.9794,0.0000,0.9818,0.0156,0.8025,0.0000,0.7976,0.1404
30,0.9797,0.0000,0.9820,0.0154,0.7976,0.0000,0.7915,0.1451
31,0.9794,0.0000,0.9817,0.0156,0.7975,0.0000,0.7919,0.1475
32,0.9793,0.0000,0.9817,0.0157,0.8081,0.0000,0.8024,0.1379
33,0.9800,0.0000,0.9823,0.0152,0.7990,0.0000,0.7956,0.1455
34,0.9809,0.0000,0.9831,0.0146,0.8093,0.0000,0.8045,0.1368
35,0.9807,0.0000,0.9829,0.0148,0.7960,0.0000,0.7909,0.1470
