epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6466,0.0000,0.6790,0.0893,0.6539,0.0000,0.6789,0.0948
1,0.6668,0.0000,0.7007,0.0793,0.6601,0.0000,0.6873,0.0934
2,0.6713,0.0000,0.7042,0.0786,0.6593,0.0000,0.6552,0.0932
3,0.6722,0.0000,0.7039,0.0782,0.6598,0.0000,0.6608,0.0926
4,0.6770,0.0000,0.7071,0.0776,0.6532,0.0000,0.6407,0.0936
5,0.6800,0.0000,0.7091,0.0770,0.6623,0.0000,0.6865,0.0932
6,0.6821,0.0000,0.7115,0.0766,0.6631,0.0000,0.6790,0.0918
7,0.6833,0.0000,0.7118,0.0765,0.6633,0.0000,0.6978,0.0923
8,0.6851,0.0000,0.7139,0.0761,0.6671,0.0000,0.6896,0.0917
9,0.6870,0.0000,0.7156,0.0757,0.6563,0.0000,0.6479,0.0922
10,0.6894,0.0000,0.7176,0.0753,0.6657,0.0000,0.6869,0.0915
11,0.6894,0.0000,0.7174,0.0752,0.6670,0.0000,0.6786,0.0910
12,0.6912,0.0000,0.7184,0.0748,0.6627,0.0000,0.6652,0.0919
13,0.6935,0.0000,0.7202,0.0744,0.6701,0.0000,0.6948,0.0913
14,0.6946,0.0000,0.7215,0.0742,0.6677,0.0000,0.6748,0.0912
15,0.6962,0.0000,0.7230,0.0740,0.6691,0.0000,0.6638,0.0904
16,0.6968,0.0000,0.7231,0.0739,0.6705,0.0000,0.6980,0.0906
17,0.6973,0.0000,0.7236,0.0737,0.6693,0.0000,0.6901,0.0905
18,0.6988,0.0000,0.7260,0.0734,0.6698,0.0000,0.6712,0.0911
19,0.7005,0.0000,0.7270,0.0731,0.6695,0.0000,0.6741,0.0906
20,0.7007,0.0000,0.7268,0.0731,0.6748,0.0000,0.7003,0.0904
21,0.7019,0.0000,0.7283,0.0729,0.6761,0.0000,0.6907,0.0901
22,0.7036,0.0000,0.7303,0.0726,0.6716,0.0000,0.6834,0.0905
23,0.7028,0.0000,0.7297,0.0727,0.6656,0.0000,0.7091,0.0923
24,0.7042,0.0000,0.7310,0.0725,0.6700,0.0000,0.6653,0.0905
25,0.7069,0.0000,0.7334,0.0721,0.6714,0.0000,0.6922,0.0901
26,0.7073,0.0000,0.7337,0.0719,0.6695,0.0000,0.7045,0.0903
27,0.7087,0.0000,0.7358,0.0717,0.6756,0.0000,0.6990,0.0903
28,0.7083,0.0000,0.7351,0.0717,0.6726,0.0000,0.6841,0.0903
29,0.7100,0.0000,0.7366,0.0713,0.6766,0.0000,0.6886,0.0896
30,0.7100,0.0000,0.7365,0.0713,0.6730,0.0000,0.6993,0.0898
31,0.7083,0.0000,0.7350,0.0717,0.6713,0.0000,0.6768,0.0902
32,0.7098,0.0000,0.7367,0.0715,0.6710,0.0000,0.6758,0.0901
33,0.7109,0.0000,0.7371,0.0712,0.6789,0.0000,0.7104,0.0902
34,0.7111,0.0000,0.7384,0.0711,0.6789,0.0000,0.6948,0.0892
35,0.7124,0.0000,0.7387,0.0710,0.6684,0.0000,0.6629,0.0907
36,0.7118,0.0000,0.7387,0.0710,0.6750,0.0000,0.6806,0.0899
37,0.7122,0.0000,0.7384,0.0709,0.6766,0.0000,0.6891,0.0892
38,0.7131,0.0000,0.7399,0.0707,0.6704,0.0000,0.6961,0.0904
39,0.7135,0.0000,0.7402,0.0707,0.6787,0.0000,0.6910,0.0899
40,0.7110,0.0000,0.7361,0.0712,0.6650,0.0000,0.7067,0.0910
41,0.7134,0.0000,0.7405,0.0706,0.6730,0.0000,0.7035,0.0896
42,0.7137,0.0000,0.7405,0.0706,0.6729,0.0000,0.6758,0.0900
43,0.7150,0.0000,0.7414,0.0703,0.6770,0.0000,0.6886,0.0892
44,0.7143,0.0000,0.7406,0.0706,0.6746,0.0000,0.6918,0.0896
45,0.7153,0.0000,0.7418,0.0703,0.6813,0.0000,0.7058,0.0892
46,0.7138,0.0000,0.7405,0.0706,0.6760,0.0000,0.6977,0.0891
47,0.7154,0.0000,0.7421,0.0704,0.6794,0.0000,0.6889,0.0892
48,0.7156,0.0000,0.7413,0.0702,0.6761,0.0000,0.7058,0.0898
49,0.7160,0.0000,0.7426,0.0703,0.6781,0.0000,0.7012,0.0899
