epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6501,0.0000,0.6874,0.0865,0.6521,0.0000,0.6887,0.0953
1,0.6620,0.0000,0.6949,0.0800,0.6593,0.0000,0.6613,0.0940
2,0.6674,0.0000,0.7020,0.0791,0.6609,0.0000,0.6709,0.0938
3,0.6691,0.0000,0.7021,0.0787,0.6599,0.0000,0.6695,0.0937
4,0.6708,0.0000,0.7037,0.0785,0.6536,0.0000,0.6398,0.0944
5,0.6723,0.0000,0.7028,0.0783,0.6596,0.0000,0.6824,0.0939
6,0.6729,0.0000,0.7038,0.0782,0.6604,0.0000,0.6800,0.0936
7,0.6750,0.0000,0.7051,0.0779,0.6579,0.0000,0.6753,0.0934
8,0.6764,0.0000,0.7062,0.0775,0.6610,0.0000,0.6867,0.0931
9,0.6780,0.0000,0.7076,0.0772,0.6577,0.0000,0.6445,0.0941
10,0.6786,0.0000,0.7079,0.0770,0.6628,0.0000,0.6853,0.0934
11,0.6807,0.0000,0.7094,0.0767,0.6634,0.0000,0.6900,0.0930
12,0.6810,0.0000,0.7098,0.0766,0.6609,0.0000,0.6734,0.0928
13,0.6814,0.0000,0.7100,0.0765,0.6591,0.0000,0.6764,0.0929
14,0.6824,0.0000,0.7099,0.0764,0.6628,0.0000,0.6850,0.0925
15,0.6825,0.0000,0.7106,0.0764,0.6598,0.0000,0.6739,0.0925
16,0.6827,0.0000,0.7110,0.0762,0.6619,0.0000,0.6675,0.0928
17,0.6824,0.0000,0.7095,0.0763,0.6624,0.0000,0.6886,0.0928
18,0.6833,0.0000,0.7114,0.0761,0.6602,0.0000,0.6680,0.0925
19,0.6830,0.0000,0.7107,0.0762,0.6641,0.0000,0.6828,0.0922
20,0.6831,0.0000,0.7112,0.0761,0.6603,0.0000,0.6800,0.0929
21,0.6832,0.0000,0.7115,0.0761,0.6580,0.0000,0.6870,0.0934
22,0.6823,0.0000,0.7101,0.0763,0.6553,0.0000,0.6926,0.0932
23,0.6835,0.0000,0.7120,0.0759,0.6581,0.0000,0.6883,0.0929
24,0.6838,0.0000,0.7128,0.0759,0.6601,0.0000,0.6800,0.0928
25,0.6825,0.0000,0.7106,0.0762,0.6594,0.0000,0.6891,0.0926
26,0.6843,0.0000,0.7130,0.0759,0.6597,0.0000,0.6645,0.0926
27,0.6846,0.0000,0.7127,0.0757,0.6623,0.0000,0.6662,0.0925
28,0.6845,0.0000,0.7128,0.0758,0.6637,0.0000,0.6784,0.0923
29,0.6850,0.0000,0.7132,0.0757,0.6565,0.0000,0.6792,0.0927
30,0.6847,0.0000,0.7127,0.0758,0.6588,0.0000,0.6807,0.0927
31,0.6852,0.0000,0.7136,0.0757,0.6604,0.0000,0.6683,0.0927
32,0.6844,0.0000,0.7128,0.0758,0.6622,0.0000,0.6640,0.0925
33,0.6844,0.0000,0.7122,0.0757,0.6584,0.0000,0.6886,0.0935
34,0.6856,0.0000,0.7141,0.0755,0.6600,0.0000,0.6737,0.0930
35,0.6854,0.0000,0.7138,0.0756,0.6614,0.0000,0.6746,0.0924
36,0.6851,0.0000,0.7141,0.0757,0.6619,0.0000,0.6660,0.0922
37,0.6854,0.0000,0.7129,0.0756,0.6629,0.0000,0.6807,0.0923
38,0.6856,0.0000,0.7139,0.0755,0.6635,0.0000,0.6716,0.0921
39,0.6859,0.0000,0.7140,0.0756,0.6611,0.0000,0.6828,0.0926
40,0.6855,0.0000,0.7145,0.0756,0.6631,0.0000,0.6719,0.0925
41,0.6854,0.0000,0.7143,0.0757,0.6617,0.0000,0.6714,0.0927
42,0.6837,0.0000,0.7109,0.0759,0.6551,0.0000,0.6390,0.0942
43,0.6852,0.0000,0.7138,0.0756,0.6608,0.0000,0.6853,0.0923
44,0.6861,0.0000,0.7141,0.0755,0.6620,0.0000,0.6824,0.0923
45,0.6859,0.0000,0.7144,0.0754,0.6598,0.0000,0.6778,0.0927
46,0.6857,0.0000,0.7141,0.0756,0.6613,0.0000,0.6658,0.0928
47,0.6862,0.0000,0.7150,0.0755,0.6604,0.0000,0.6723,0.0927
48,0.6862,0.0000,0.7152,0.0755,0.6597,0.0000,0.6872,0.0929
49,0.6864,0.0000,0.7139,0.0755,0.6568,0.0000,0.6915,0.0938
