epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7723,0.0000,0.7958,0.1587,0.7487,0.0000,0.7487,0.1559
1,0.8807,0.0000,0.8950,0.0750,0.8056,0.0000,0.8014,0.1133
2,0.9208,0.0000,0.9302,0.0517,0.8058,0.0000,0.8032,0.1207
3,0.9390,0.0000,0.9462,0.0413,0.8202,0.0000,0.8191,0.1102
4,0.9489,0.0000,0.9549,0.0355,0.8213,0.0000,0.8192,0.1122
5,0.9555,0.0000,0.9607,0.0312,0.8204,0.0000,0.8168,0.1142
6,0.9612,0.0000,0.9658,0.0279,0.8237,0.0000,0.8220,0.1144
7,0.9648,0.0000,0.9690,0.0258,0.8295,0.0000,0.8254,0.1156
8,0.9673,0.0000,0.9711,0.0242,0.8216,0.0000,0.8182,0.1149
9,0.9694,0.0000,0.9729,0.0227,0.8279,0.0000,0.8215,0.1169
10,0.9718,0.0000,0.9751,0.0213,0.8250,0.0000,0.8188,0.1176
11,0.9732,0.0000,0.9763,0.0203,0.8266,0.0000,0.8214,0.1189
12,0.9748,0.0000,0.9778,0.0193,0.8308,0.0000,0.8248,0.1162
13,0.9749,0.0000,0.9778,0.0190,0.8314,0.0000,0.8275,0.1182
14,0.9757,0.0000,0.9785,0.0184,0.8241,0.0000,0.8209,0.1199
15,0.9763,0.0000,0.9790,0.0181,0.8277,0.0000,0.8202,0.1214
16,0.9768,0.0000,0.9794,0.0178,0.8327,0.0000,0.8261,0.1175
17,0.9771,0.0000,0.9798,0.0175,0.8302,0.0000,0.8228,0.1201
18,0.9777,0.0000,0.9802,0.0171,0.8331,0.0000,0.8242,0.1174
19,0.9783,0.0000,0.9808,0.0167,0.8301,0.0000,0.8214,0.1175
20,0.9789,0.0000,0.9813,0.0163,0.8282,0.0000,0.8220,0.1184
21,0.9794,0.0000,0.9818,0.0160,0.8292,0.0000,0.8224,0.1199
22,0.9795,0.0000,0.9818,0.0159,0.8292,0.0000,0.8232,0.1200
23,0.9802,0.0000,0.9824,0.0155,0.8334,0.0000,0.8269,0.1200
24,0.9803,0.0000,0.9825,0.0155,0.8321,0.0000,0.8226,0.1225
25,0.9802,0.0000,0.9825,0.0154,0.8332,0.0000,0.8249,0.1179
26,0.9802,0.0000,0.9824,0.0154,0.8271,0.0000,0.8208,0.1221
27,0.9804,0.0000,0.9826,0.0152,0.8294,0.0000,0.8229,0.1210
28,0.9809,0.0000,0.9831,0.0149,0.8302,0.0000,0.8205,0.1221
29,0.9811,0.0000,0.9833,0.0147,0.8338,0.0000,0.8278,0.1209
30,0.9811,0.0000,0.9833,0.0147,0.8286,0.0000,0.8208,0.1244
31,0.9813,0.0000,0.9835,0.0145,0.8285,0.0000,0.8223,0.1245
32,0.9817,0.0000,0.9838,0.0144,0.8353,0.0000,0.8289,0.1202
33,0.9815,0.0000,0.9836,0.0144,0.8350,0.0000,0.8284,0.1206
