epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7398,0.0000,0.7610,0.2051,0.7152,0.0000,0.7099,0.2012
1,0.8506,0.0000,0.8671,0.1000,0.7939,0.0000,0.7919,0.1367
2,0.9287,0.0000,0.9370,0.0474,0.8348,0.0000,0.8331,0.1095
3,0.9516,0.0000,0.9572,0.0334,0.8396,0.0000,0.8350,0.1019
4,0.9624,0.0000,0.9667,0.0269,0.8391,0.0000,0.8335,0.1047
5,0.9687,0.0000,0.9723,0.0229,0.8377,0.0000,0.8337,0.1043
6,0.9725,0.0000,0.9756,0.0204,0.8284,0.0000,0.8250,0.1151
7,0.9755,0.0000,0.9783,0.0185,0.8391,0.0000,0.8325,0.1125
8,0.9770,0.0000,0.9796,0.0174,0.8386,0.0000,0.8345,0.1156
9,0.9778,0.0000,0.9803,0.0168,0.8222,0.0000,0.8174,0.1246
10,0.9789,0.0000,0.9813,0.0161,0.8360,0.0000,0.8307,0.1173
11,0.9798,0.0000,0.9820,0.0155,0.8287,0.0000,0.8251,0.1243
12,0.9804,0.0000,0.9826,0.0150,0.8273,0.0000,0.8255,0.1253
13,0.9814,0.0000,0.9835,0.0144,0.8385,0.0000,0.8336,0.1213
14,0.9818,0.0000,0.9838,0.0142,0.8298,0.0000,0.8277,0.1230
15,0.9817,0.0000,0.9838,0.0142,0.8293,0.0000,0.8273,0.1259
16,0.9815,0.0000,0.9836,0.0142,0.8319,0.0000,0.8286,0.1228
17,0.9823,0.0000,0.9843,0.0137,0.8279,0.0000,0.8249,0.1261
18,0.9828,0.0000,0.9848,0.0133,0.8354,0.0000,0.8305,0.1255
19,0.9833,0.0000,0.9851,0.0131,0.8277,0.0000,0.8251,0.1272
20,0.9831,0.0000,0.9850,0.0132,0.8302,0.0000,0.8276,0.1274
21,0.9836,0.0000,0.9854,0.0129,0.8374,0.0000,0.8329,0.1233
22,0.9839,0.0000,0.9857,0.0126,0.8352,0.0000,0.8295,0.1249
23,0.9839,0.0000,0.9857,0.0126,0.8371,0.0000,0.8330,0.1249
24,0.9842,0.0000,0.9860,0.0124,0.8398,0.0000,0.8341,0.1224
25,0.9844,0.0000,0.9861,0.0123,0.8289,0.0000,0.8266,0.1294
26,0.9847,0.0000,0.9864,0.0121,0.8336,0.0000,0.8305,0.1259
27,0.9847,0.0000,0.9864,0.0121,0.8255,0.0000,0.8225,0.1322
28,0.9851,0.0000,0.9867,0.0119,0.8299,0.0000,0.8256,0.1294
29,0.9846,0.0000,0.9863,0.0121,0.8276,0.0000,0.8249,0.1331
30,0.9849,0.0000,0.9866,0.0119,0.8223,0.0000,0.8198,0.1349
31,0.9849,0.0000,0.9866,0.0119,0.8308,0.0000,0.8273,0.1305
32,0.9849,0.0000,0.9866,0.0119,0.8293,0.0000,0.8257,0.1288
33,0.9851,0.0000,0.9868,0.0118,0.8313,0.0000,0.8275,0.1279
