epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7801,0.0000,0.8003,0.1621,0.7258,0.0000,0.7187,0.1715
1,0.8681,0.0000,0.8824,0.0926,0.7817,0.0000,0.7723,0.1445
2,0.9165,0.0000,0.9259,0.0596,0.7986,0.0000,0.7856,0.1322
3,0.9411,0.0000,0.9477,0.0434,0.8073,0.0000,0.7970,0.1278
4,0.9572,0.0000,0.9621,0.0326,0.8174,0.0000,0.8099,0.1238
5,0.9663,0.0000,0.9702,0.0262,0.8117,0.0000,0.8013,0.1286
6,0.9714,0.0000,0.9747,0.0228,0.8081,0.0000,0.8020,0.1328
7,0.9740,0.0000,0.9770,0.0207,0.8112,0.0000,0.8035,0.1327
8,0.9764,0.0000,0.9791,0.0191,0.8100,0.0000,0.8012,0.1348
9,0.9775,0.0000,0.9801,0.0181,0.8120,0.0000,0.8037,0.1329
10,0.9779,0.0000,0.9804,0.0177,0.8092,0.0000,0.8002,0.1385
11,0.9790,0.0000,0.9814,0.0170,0.8129,0.0000,0.8039,0.1367
12,0.9796,0.0000,0.9819,0.0165,0.8131,0.0000,0.8000,0.1386
13,0.9797,0.0000,0.9821,0.0164,0.8095,0.0000,0.7984,0.1393
14,0.9803,0.0000,0.9826,0.0160,0.8134,0.0000,0.8041,0.1403
15,0.9806,0.0000,0.9829,0.0158,0.8095,0.0000,0.8010,0.1426
16,0.9807,0.0000,0.9829,0.0157,0.8058,0.0000,0.7957,0.1438
17,0.9805,0.0000,0.9827,0.0158,0.8156,0.0000,0.8070,0.1384
18,0.9806,0.0000,0.9829,0.0157,0.8109,0.0000,0.7990,0.1419
19,0.9809,0.0000,0.9831,0.0155,0.8117,0.0000,0.8011,0.1427
20,0.9808,0.0000,0.9830,0.0155,0.8072,0.0000,0.7968,0.1450
21,0.9810,0.0000,0.9832,0.0154,0.8070,0.0000,0.7957,0.1442
22,0.9809,0.0000,0.9831,0.0154,0.8095,0.0000,0.7997,0.1427
23,0.9809,0.0000,0.9831,0.0154,0.8078,0.0000,0.7978,0.1436
24,0.9808,0.0000,0.9830,0.0155,0.8166,0.0000,0.8057,0.1387
25,0.9809,0.0000,0.9831,0.0154,0.8144,0.0000,0.8065,0.1411
26,0.9812,0.0000,0.9833,0.0153,0.8134,0.0000,0.8014,0.1421
27,0.9813,0.0000,0.9835,0.0151,0.8123,0.0000,0.7975,0.1408
28,0.9814,0.0000,0.9835,0.0151,0.8142,0.0000,0.8043,0.1429
29,0.9814,0.0000,0.9835,0.0151,0.8101,0.0000,0.7962,0.1452
30,0.9816,0.0000,0.9837,0.0150,0.8104,0.0000,0.8003,0.1457
31,0.9816,0.0000,0.9837,0.0149,0.8075,0.0000,0.7951,0.1457
32,0.9816,0.0000,0.9837,0.0149,0.8121,0.0000,0.8032,0.1451
33,0.9817,0.0000,0.9838,0.0149,0.8079,0.0000,0.7975,0.1465
34,0.9821,0.0000,0.9842,0.0146,0.8083,0.0000,0.7980,0.1458
