epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6999,0.0000,0.7415,0.1636,0.6562,0.0000,0.6437,0.1675
1,0.7434,0.0000,0.7814,0.1460,0.6654,0.0000,0.6974,0.1712
2,0.7534,0.0000,0.7889,0.1411,0.6655,0.0000,0.6974,0.1716
3,0.7563,0.0000,0.7904,0.1390,0.6586,0.0000,0.6964,0.1757
4,0.7607,0.0000,0.7943,0.1367,0.6787,0.0000,0.6917,0.1662
5,0.7620,0.0000,0.7950,0.1354,0.6747,0.0000,0.6988,0.1674
6,0.7641,0.0000,0.7967,0.1345,0.6719,0.0000,0.6990,0.1695
7,0.7645,0.0000,0.7967,0.1345,0.6809,0.0000,0.7011,0.1671
8,0.7653,0.0000,0.7975,0.1336,0.6736,0.0000,0.7025,0.1686
9,0.7661,0.0000,0.7984,0.1331,0.6779,0.0000,0.7006,0.1682
10,0.7651,0.0000,0.7971,0.1336,0.6818,0.0000,0.7028,0.1647
11,0.7661,0.0000,0.7983,0.1329,0.6872,0.0000,0.6958,0.1622
12,0.7681,0.0000,0.8003,0.1323,0.6811,0.0000,0.7034,0.1648
13,0.7681,0.0000,0.7998,0.1318,0.6850,0.0000,0.7059,0.1638
14,0.7670,0.0000,0.7989,0.1324,0.6827,0.0000,0.7050,0.1669
15,0.7686,0.0000,0.7999,0.1315,0.6716,0.0000,0.7006,0.1678
16,0.7685,0.0000,0.7995,0.1318,0.6763,0.0000,0.6965,0.1659
17,0.7685,0.0000,0.8001,0.1315,0.6902,0.0000,0.7052,0.1627
18,0.7675,0.0000,0.7989,0.1320,0.6879,0.0000,0.6999,0.1629
19,0.7685,0.0000,0.7993,0.1313,0.6728,0.0000,0.7016,0.1723
20,0.7686,0.0000,0.7997,0.1315,0.6696,0.0000,0.6975,0.1686
21,0.7690,0.0000,0.8008,0.1313,0.6821,0.0000,0.7043,0.1656
22,0.7697,0.0000,0.8012,0.1308,0.6843,0.0000,0.7002,0.1628
23,0.7702,0.0000,0.8012,0.1305,0.6793,0.0000,0.6975,0.1654
24,0.7682,0.0000,0.7988,0.1312,0.6811,0.0000,0.7034,0.1658
25,0.7693,0.0000,0.8003,0.1305,0.6874,0.0000,0.7042,0.1654
26,0.7699,0.0000,0.8012,0.1307,0.6845,0.0000,0.7001,0.1629
27,0.7698,0.0000,0.8004,0.1308,0.6793,0.0000,0.6982,0.1651
28,0.7686,0.0000,0.7998,0.1312,0.6876,0.0000,0.7065,0.1645
29,0.7696,0.0000,0.8005,0.1307,0.6826,0.0000,0.6891,0.1603
30,0.7698,0.0000,0.8008,0.1306,0.6762,0.0000,0.7109,0.1751
31,0.7690,0.0000,0.8004,0.1309,0.6821,0.0000,0.7046,0.1642
32,0.7699,0.0000,0.8010,0.1303,0.6843,0.0000,0.7037,0.1672
33,0.7702,0.0000,0.8011,0.1303,0.6759,0.0000,0.7001,0.1660
34,0.7696,0.0000,0.8006,0.1306,0.6883,0.0000,0.7107,0.1649
35,0.7711,0.0000,0.8022,0.1300,0.6880,0.0000,0.7063,0.1624
36,0.7703,0.0000,0.8012,0.1302,0.6845,0.0000,0.7002,0.1619
37,0.7711,0.0000,0.8017,0.1302,0.6783,0.0000,0.7039,0.1667
38,0.7717,0.0000,0.8025,0.1298,0.6760,0.0000,0.7080,0.1753
39,0.7698,0.0000,0.8007,0.1306,0.6803,0.0000,0.6930,0.1603
40,0.7707,0.0000,0.8017,0.1302,0.6809,0.0000,0.7008,0.1631
41,0.7708,0.0000,0.8015,0.1299,0.6721,0.0000,0.7091,0.1711
42,0.7694,0.0000,0.8011,0.1306,0.6779,0.0000,0.7037,0.1687
43,0.7703,0.0000,0.8015,0.1304,0.6899,0.0000,0.7068,0.1626
44,0.7696,0.0000,0.8004,0.1303,0.6808,0.0000,0.7052,0.1654
45,0.7705,0.0000,0.8017,0.1304,0.6915,0.0000,0.7004,0.1616
46,0.7709,0.0000,0.8013,0.1300,0.6786,0.0000,0.7078,0.1704
47,0.7705,0.0000,0.8017,0.1299,0.6885,0.0000,0.7077,0.1622
48,0.7719,0.0000,0.8023,0.1295,0.6837,0.0000,0.6998,0.1635
49,0.7707,0.0000,0.8014,0.1300,0.6869,0.0000,0.7047,0.1630
