epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6653,0.0000,0.7152,0.1771,0.6223,0.0000,0.6897,0.1869
1,0.6807,0.0000,0.7326,0.1690,0.6252,0.0000,0.6626,0.1787
2,0.6820,0.0000,0.7359,0.1686,0.6295,0.0000,0.6613,0.1761
3,0.6823,0.0000,0.7350,0.1686,0.6303,0.0000,0.6622,0.1746
4,0.6831,0.0000,0.7368,0.1682,0.6295,0.0000,0.6614,0.1754
5,0.6832,0.0000,0.7376,0.1683,0.6245,0.0000,0.6670,0.1765
6,0.6829,0.0000,0.7374,0.1685,0.6306,0.0000,0.6628,0.1760
7,0.6837,0.0000,0.7367,0.1681,0.6303,0.0000,0.6622,0.1732
8,0.6832,0.0000,0.7368,0.1681,0.6327,0.0000,0.6705,0.1757
9,0.6838,0.0000,0.7365,0.1678,0.6328,0.0000,0.6706,0.1765
10,0.6836,0.0000,0.7373,0.1679,0.6314,0.0000,0.6655,0.1791
11,0.6839,0.0000,0.7365,0.1679,0.6306,0.0000,0.6628,0.1752
12,0.6838,0.0000,0.7378,0.1680,0.6206,0.0000,0.6611,0.1738
13,0.6838,0.0000,0.7362,0.1680,0.6305,0.0000,0.6608,0.1743
14,0.6840,0.0000,0.7377,0.1677,0.6305,0.0000,0.6627,0.1763
15,0.6842,0.0000,0.7358,0.1677,0.6305,0.0000,0.6627,0.1745
16,0.6835,0.0000,0.7366,0.1678,0.6296,0.0000,0.6623,0.1751
17,0.6838,0.0000,0.7373,0.1679,0.6263,0.0000,0.6641,0.1754
18,0.6836,0.0000,0.7374,0.1677,0.6306,0.0000,0.6628,0.1735
19,0.6832,0.0000,0.7369,0.1679,0.6336,0.0000,0.6733,0.1755
20,0.6833,0.0000,0.7380,0.1679,0.6305,0.0000,0.6627,0.1751
21,0.6834,0.0000,0.7357,0.1679,0.6327,0.0000,0.6706,0.1761
22,0.6836,0.0000,0.7368,0.1677,0.6305,0.0000,0.6627,0.1743
23,0.6841,0.0000,0.7370,0.1676,0.6296,0.0000,0.6624,0.1754
24,0.6839,0.0000,0.7362,0.1678,0.6295,0.0000,0.6622,0.1765
25,0.6835,0.0000,0.7366,0.1677,0.6307,0.0000,0.6629,0.1733
26,0.6831,0.0000,0.7380,0.1679,0.6296,0.0000,0.6624,0.1758
27,0.6828,0.0000,0.7374,0.1680,0.6354,0.0000,0.6643,0.1747
28,0.6841,0.0000,0.7364,0.1679,0.6268,0.0000,0.6775,0.1779
29,0.6841,0.0000,0.7369,0.1677,0.6305,0.0000,0.6627,0.1753
30,0.6836,0.0000,0.7369,0.1677,0.6261,0.0000,0.6664,0.1767
31,0.6834,0.0000,0.7369,0.1677,0.6295,0.0000,0.6622,0.1744
32,0.6839,0.0000,0.7367,0.1678,0.6306,0.0000,0.6627,0.1737
33,0.6835,0.0000,0.7378,0.1679,0.6295,0.0000,0.6622,0.1750
34,0.6837,0.0000,0.7364,0.1677,0.6296,0.0000,0.6624,0.1756
35,0.6838,0.0000,0.7373,0.1677,0.6262,0.0000,0.6664,0.1757
36,0.6836,0.0000,0.7370,0.1678,0.6306,0.0000,0.6629,0.1763
37,0.6837,0.0000,0.7360,0.1676,0.6356,0.0000,0.6644,0.1733
