epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7137,0.0000,0.7566,0.1597,0.6839,0.0000,0.6641,0.1680
1,0.7700,0.0000,0.8020,0.1326,0.6888,0.0000,0.6940,0.1590
2,0.7948,0.0000,0.8228,0.1209,0.7087,0.0000,0.7117,0.1589
3,0.8092,0.0000,0.8345,0.1130,0.7043,0.0000,0.7133,0.1606
4,0.8183,0.0000,0.8423,0.1082,0.7039,0.0000,0.7301,0.1664
5,0.8267,0.0000,0.8496,0.1038,0.7146,0.0000,0.7243,0.1584
6,0.8318,0.0000,0.8536,0.1015,0.7068,0.0000,0.7269,0.1606
7,0.8360,0.0000,0.8575,0.0991,0.7105,0.0000,0.7303,0.1616
8,0.8392,0.0000,0.8600,0.0976,0.7123,0.0000,0.7350,0.1605
9,0.8431,0.0000,0.8635,0.0953,0.7148,0.0000,0.7398,0.1630
10,0.8468,0.0000,0.8666,0.0934,0.7191,0.0000,0.7316,0.1567
11,0.8479,0.0000,0.8675,0.0926,0.7202,0.0000,0.7414,0.1574
12,0.8516,0.0000,0.8705,0.0905,0.7236,0.0000,0.7400,0.1583
13,0.8537,0.0000,0.8725,0.0896,0.7259,0.0000,0.7406,0.1547
14,0.8541,0.0000,0.8725,0.0892,0.7256,0.0000,0.7408,0.1539
15,0.8552,0.0000,0.8734,0.0885,0.7160,0.0000,0.7350,0.1563
16,0.8558,0.0000,0.8739,0.0881,0.7210,0.0000,0.7328,0.1550
17,0.8581,0.0000,0.8762,0.0867,0.7145,0.0000,0.7334,0.1576
18,0.8599,0.0000,0.8775,0.0861,0.7340,0.0000,0.7456,0.1544
19,0.8602,0.0000,0.8778,0.0856,0.7303,0.0000,0.7397,0.1531
20,0.8614,0.0000,0.8786,0.0850,0.7301,0.0000,0.7482,0.1574
21,0.8620,0.0000,0.8792,0.0844,0.7236,0.0000,0.7446,0.1597
22,0.8617,0.0000,0.8789,0.0846,0.7218,0.0000,0.7371,0.1569
23,0.8630,0.0000,0.8800,0.0842,0.7289,0.0000,0.7446,0.1590
24,0.8632,0.0000,0.8803,0.0839,0.7259,0.0000,0.7441,0.1553
25,0.8654,0.0000,0.8821,0.0827,0.7213,0.0000,0.7374,0.1571
26,0.8664,0.0000,0.8830,0.0821,0.7251,0.0000,0.7419,0.1576
27,0.8667,0.0000,0.8833,0.0817,0.7134,0.0000,0.7345,0.1608
28,0.8674,0.0000,0.8840,0.0813,0.7324,0.0000,0.7459,0.1531
29,0.8677,0.0000,0.8841,0.0815,0.7175,0.0000,0.7324,0.1600
30,0.8675,0.0000,0.8839,0.0812,0.7296,0.0000,0.7332,0.1531
31,0.8684,0.0000,0.8846,0.0808,0.7213,0.0000,0.7395,0.1585
32,0.8688,0.0000,0.8851,0.0809,0.7178,0.0000,0.7439,0.1668
33,0.8693,0.0000,0.8853,0.0802,0.7303,0.0000,0.7352,0.1539
34,0.8704,0.0000,0.8863,0.0796,0.7184,0.0000,0.7281,0.1579
35,0.8698,0.0000,0.8857,0.0797,0.7210,0.0000,0.7385,0.1598
36,0.8720,0.0000,0.8876,0.0789,0.7176,0.0000,0.7335,0.1623
37,0.8720,0.0000,0.8876,0.0789,0.7166,0.0000,0.7316,0.1594
38,0.8710,0.0000,0.8869,0.0793,0.7213,0.0000,0.7271,0.1574
39,0.8722,0.0000,0.8879,0.0784,0.7141,0.0000,0.7400,0.1679
40,0.8727,0.0000,0.8881,0.0783,0.7217,0.0000,0.7399,0.1625
41,0.8732,0.0000,0.8886,0.0781,0.7244,0.0000,0.7406,0.1596
42,0.8736,0.0000,0.8890,0.0777,0.7261,0.0000,0.7402,0.1587
43,0.8743,0.0000,0.8893,0.0774,0.7205,0.0000,0.7402,0.1648
44,0.8738,0.0000,0.8892,0.0776,0.7112,0.0000,0.7354,0.1665
45,0.8740,0.0000,0.8893,0.0775,0.7228,0.0000,0.7345,0.1607
46,0.8744,0.0000,0.8896,0.0773,0.7169,0.0000,0.7431,0.1698
47,0.8740,0.0000,0.8894,0.0772,0.7126,0.0000,0.7302,0.1662
48,0.8747,0.0000,0.8898,0.0769,0.7201,0.0000,0.7331,0.1608
49,0.8753,0.0000,0.8904,0.0767,0.7213,0.0000,0.7371,0.1620
