epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7216,0.0000,0.7588,0.1563,0.6471,0.0000,0.7069,0.1984
1,0.7893,0.0000,0.8209,0.1227,0.6988,0.0000,0.6820,0.1562
2,0.8246,0.0000,0.8488,0.1053,0.7238,0.0000,0.7368,0.1569
3,0.8416,0.0000,0.8630,0.0962,0.7115,0.0000,0.7065,0.1619
4,0.8487,0.0000,0.8692,0.0919,0.6969,0.0000,0.6723,0.1663
5,0.8589,0.0000,0.8777,0.0862,0.7154,0.0000,0.7366,0.1659
6,0.8653,0.0000,0.8831,0.0823,0.7164,0.0000,0.7263,0.1594
7,0.8674,0.0000,0.8849,0.0812,0.7161,0.0000,0.7223,0.1557
8,0.8742,0.0000,0.8907,0.0778,0.7104,0.0000,0.7228,0.1624
9,0.8786,0.0000,0.8943,0.0753,0.7211,0.0000,0.7402,0.1647
10,0.8808,0.0000,0.8961,0.0739,0.7220,0.0000,0.7492,0.1683
11,0.8849,0.0000,0.8995,0.0714,0.7278,0.0000,0.7461,0.1604
12,0.8878,0.0000,0.9021,0.0703,0.7354,0.0000,0.7381,0.1569
13,0.8911,0.0000,0.9048,0.0685,0.7318,0.0000,0.7323,0.1573
14,0.8933,0.0000,0.9067,0.0671,0.7401,0.0000,0.7550,0.1585
15,0.8933,0.0000,0.9068,0.0671,0.7307,0.0000,0.7472,0.1654
16,0.8957,0.0000,0.9088,0.0657,0.7369,0.0000,0.7483,0.1583
17,0.8986,0.0000,0.9112,0.0642,0.7151,0.0000,0.7141,0.1683
18,0.8983,0.0000,0.9110,0.0641,0.7402,0.0000,0.7515,0.1601
19,0.8995,0.0000,0.9119,0.0635,0.7340,0.0000,0.7505,0.1661
20,0.9038,0.0000,0.9156,0.0612,0.7245,0.0000,0.7372,0.1641
21,0.9045,0.0000,0.9163,0.0606,0.7376,0.0000,0.7488,0.1636
22,0.9045,0.0000,0.9162,0.0607,0.7348,0.0000,0.7505,0.1661
23,0.9074,0.0000,0.9187,0.0590,0.7289,0.0000,0.7445,0.1643
24,0.9082,0.0000,0.9195,0.0587,0.7296,0.0000,0.7494,0.1669
25,0.9089,0.0000,0.9200,0.0586,0.7347,0.0000,0.7437,0.1659
26,0.9104,0.0000,0.9214,0.0575,0.7395,0.0000,0.7468,0.1590
27,0.9115,0.0000,0.9222,0.0570,0.7343,0.0000,0.7458,0.1642
28,0.9105,0.0000,0.9214,0.0572,0.7291,0.0000,0.7530,0.1711
29,0.9125,0.0000,0.9232,0.0563,0.7409,0.0000,0.7503,0.1592
30,0.9138,0.0000,0.9242,0.0557,0.7446,0.0000,0.7468,0.1621
31,0.9125,0.0000,0.9231,0.0563,0.7410,0.0000,0.7434,0.1583
32,0.9136,0.0000,0.9241,0.0557,0.7407,0.0000,0.7533,0.1614
33,0.9168,0.0000,0.9268,0.0542,0.7392,0.0000,0.7570,0.1658
34,0.9160,0.0000,0.9263,0.0548,0.7422,0.0000,0.7518,0.1567
35,0.9160,0.0000,0.9262,0.0546,0.7433,0.0000,0.7577,0.1631
36,0.9163,0.0000,0.9264,0.0542,0.7309,0.0000,0.7444,0.1656
37,0.9182,0.0000,0.9281,0.0531,0.7382,0.0000,0.7389,0.1628
