epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7054,0.0000,0.7467,0.1626,0.6608,0.0000,0.6158,0.1754
1,0.7768,0.0000,0.8106,0.1290,0.6886,0.0000,0.7243,0.1677
2,0.8076,0.0000,0.8357,0.1138,0.7152,0.0000,0.7249,0.1527
3,0.8203,0.0000,0.8452,0.1069,0.7007,0.0000,0.7355,0.1658
4,0.8317,0.0000,0.8550,0.1008,0.7297,0.0000,0.7361,0.1490
5,0.8447,0.0000,0.8656,0.0945,0.7252,0.0000,0.7351,0.1500
6,0.8496,0.0000,0.8698,0.0918,0.7222,0.0000,0.7425,0.1546
7,0.8576,0.0000,0.8762,0.0875,0.7253,0.0000,0.7475,0.1575
8,0.8611,0.0000,0.8793,0.0851,0.7363,0.0000,0.7446,0.1476
9,0.8662,0.0000,0.8834,0.0823,0.7256,0.0000,0.7501,0.1574
10,0.8715,0.0000,0.8880,0.0799,0.7286,0.0000,0.7490,0.1613
11,0.8725,0.0000,0.8888,0.0791,0.7299,0.0000,0.7355,0.1541
12,0.8776,0.0000,0.8931,0.0766,0.7380,0.0000,0.7499,0.1520
13,0.8807,0.0000,0.8957,0.0747,0.7386,0.0000,0.7471,0.1532
14,0.8836,0.0000,0.8983,0.0732,0.7368,0.0000,0.7390,0.1526
15,0.8832,0.0000,0.8980,0.0734,0.7346,0.0000,0.7515,0.1572
16,0.8877,0.0000,0.9016,0.0708,0.7351,0.0000,0.7425,0.1545
17,0.8897,0.0000,0.9034,0.0693,0.7345,0.0000,0.7476,0.1566
18,0.8908,0.0000,0.9043,0.0688,0.7375,0.0000,0.7529,0.1598
19,0.8945,0.0000,0.9074,0.0673,0.7420,0.0000,0.7581,0.1558
20,0.8927,0.0000,0.9059,0.0678,0.7432,0.0000,0.7485,0.1520
21,0.8962,0.0000,0.9088,0.0659,0.7431,0.0000,0.7456,0.1551
22,0.9001,0.0000,0.9123,0.0641,0.7496,0.0000,0.7581,0.1512
23,0.9002,0.0000,0.9123,0.0633,0.7494,0.0000,0.7574,0.1510
24,0.8997,0.0000,0.9118,0.0641,0.7450,0.0000,0.7610,0.1544
25,0.9020,0.0000,0.9139,0.0625,0.7530,0.0000,0.7580,0.1502
26,0.9040,0.0000,0.9156,0.0615,0.7425,0.0000,0.7503,0.1550
27,0.9066,0.0000,0.9179,0.0601,0.7329,0.0000,0.7485,0.1591
28,0.9057,0.0000,0.9171,0.0609,0.7355,0.0000,0.7338,0.1551
29,0.9076,0.0000,0.9188,0.0596,0.7425,0.0000,0.7476,0.1563
30,0.9078,0.0000,0.9189,0.0593,0.7405,0.0000,0.7557,0.1593
31,0.9098,0.0000,0.9205,0.0585,0.7366,0.0000,0.7548,0.1599
32,0.9098,0.0000,0.9207,0.0585,0.7441,0.0000,0.7602,0.1607
33,0.9128,0.0000,0.9233,0.0567,0.7480,0.0000,0.7599,0.1550
34,0.9111,0.0000,0.9217,0.0574,0.7452,0.0000,0.7534,0.1537
35,0.9142,0.0000,0.9245,0.0560,0.7472,0.0000,0.7608,0.1577
36,0.9147,0.0000,0.9249,0.0559,0.7435,0.0000,0.7559,0.1523
37,0.9140,0.0000,0.9244,0.0559,0.7481,0.0000,0.7505,0.1534
38,0.9159,0.0000,0.9259,0.0550,0.7486,0.0000,0.7602,0.1556
