epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7596,0.0000,0.7795,0.1357,0.7361,0.0000,0.7400,0.1387
1,0.8269,0.0000,0.8479,0.0976,0.7415,0.0000,0.7445,0.1358
2,0.8453,0.0000,0.8633,0.0876,0.7445,0.0000,0.7438,0.1327
3,0.8619,0.0000,0.8779,0.0801,0.7707,0.0000,0.7678,0.1194
4,0.8673,0.0000,0.8822,0.0769,0.7905,0.0000,0.7855,0.1128
5,0.8724,0.0000,0.8867,0.0748,0.7860,0.0000,0.7838,0.1148
6,0.8755,0.0000,0.8893,0.0733,0.7883,0.0000,0.7786,0.1213
7,0.8777,0.0000,0.8913,0.0720,0.7852,0.0000,0.7822,0.1200
8,0.8833,0.0000,0.8963,0.0694,0.7965,0.0000,0.7930,0.1103
9,0.8837,0.0000,0.8967,0.0690,0.7694,0.0000,0.7718,0.1393
10,0.8818,0.0000,0.8950,0.0703,0.7715,0.0000,0.7747,0.1388
11,0.8826,0.0000,0.8955,0.0700,0.7908,0.0000,0.7822,0.1128
12,0.8813,0.0000,0.8945,0.0717,0.7784,0.0000,0.7784,0.1241
13,0.8791,0.0000,0.8926,0.0731,0.8150,0.0000,0.8115,0.1080
14,0.8801,0.0035,0.8937,0.0733,0.8043,0.0000,0.7987,0.1115
15,0.8822,0.0208,0.8955,0.0717,0.7756,0.0000,0.7754,0.1388
16,0.8833,0.0000,0.8965,0.0716,0.8066,0.0000,0.7992,0.1080
17,0.8820,0.0000,0.8953,0.0724,0.7930,0.0000,0.7837,0.1144
18,0.8810,0.0000,0.8944,0.0732,0.8046,0.0000,0.7980,0.1084
19,0.8781,0.0000,0.8919,0.0759,0.7962,0.0000,0.7875,0.1172
20,0.8798,0.0000,0.8935,0.0744,0.7931,0.0000,0.7871,0.1114
21,0.8829,0.0000,0.8961,0.0717,0.8046,0.0000,0.8012,0.1066
22,0.8820,0.0000,0.8953,0.0719,0.8105,0.0000,0.8064,0.1062
23,0.8809,0.0000,0.8944,0.0725,0.8159,0.0000,0.8118,0.1052
24,0.8845,0.0000,0.8977,0.0706,0.8026,0.0000,0.7955,0.1080
25,0.8852,0.0000,0.8982,0.0702,0.8016,0.0000,0.7904,0.1047
26,0.8872,0.0000,0.9004,0.0687,0.8142,0.0000,0.8106,0.1038
27,0.8842,0.0000,0.8976,0.0709,0.7975,0.0000,0.7945,0.1107
28,0.8850,0.0000,0.8982,0.0705,0.8138,0.0000,0.8101,0.1061
29,0.8808,0.0000,0.8945,0.0738,0.7782,0.0000,0.7805,0.1202
30,0.8810,0.0000,0.8947,0.0740,0.7867,0.0000,0.7828,0.1154
31,0.8760,0.0000,0.8898,0.0759,0.7669,0.0000,0.7677,0.1312
32,0.8800,0.0000,0.8936,0.0737,0.6857,0.0000,0.6560,0.2104
33,0.8804,0.0000,0.8938,0.0737,0.7714,0.0000,0.7765,0.1439
34,0.8819,0.0000,0.8952,0.0726,0.7358,0.0000,0.7360,0.1628
35,0.8813,0.0000,0.8946,0.0731,0.7669,0.0000,0.7722,0.1443
36,0.8809,0.0000,0.8943,0.0733,0.7632,0.0000,0.7681,0.1510
37,0.8765,0.0000,0.8903,0.0779,0.7593,0.0000,0.7611,0.1638
38,0.8731,0.0000,0.8874,0.0789,0.7587,0.0000,0.7632,0.1479
39,0.8669,0.0000,0.8821,0.0844,0.7696,0.0000,0.7765,0.1333
40,0.8697,0.0000,0.8842,0.0831,0.7714,0.0000,0.7700,0.1340
41,0.8702,0.0000,0.8847,0.0838,0.7795,0.0000,0.7747,0.1286
42,0.8733,0.0000,0.8874,0.0816,0.7627,0.0000,0.7614,0.1353
43,0.8742,0.0000,0.8884,0.0815,0.7662,0.0000,0.7555,0.1347
44,0.8671,0.0000,0.8818,0.0877,0.7646,0.0000,0.7490,0.1328
45,0.8663,0.0000,0.8811,0.0863,0.7680,0.0000,0.7427,0.1232
46,0.8666,0.0000,0.8811,0.0859,0.7670,0.0000,0.7464,0.1281
47,0.8712,0.0000,0.8855,0.0829,0.7366,0.0000,0.7043,0.1385
48,0.8633,0.0000,0.8785,0.0897,0.7692,0.0000,0.7693,0.1385
49,0.8639,0.0000,0.8786,0.0882,0.7166,0.0000,0.7147,0.1757
