epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7788,0.0000,0.7990,0.1265,0.7565,0.0000,0.7578,0.1282
1,0.8643,0.0000,0.8798,0.0803,0.7950,0.0000,0.7900,0.1106
2,0.8876,0.0000,0.9001,0.0678,0.8005,0.0000,0.7944,0.1105
3,0.8971,0.0000,0.9089,0.0620,0.7950,0.0000,0.7875,0.1121
4,0.9014,0.0000,0.9127,0.0594,0.8129,0.0000,0.8052,0.1018
5,0.9047,0.0000,0.9154,0.0582,0.8084,0.0000,0.8057,0.1045
6,0.9060,0.0000,0.9169,0.0575,0.7840,0.0000,0.7807,0.1132
7,0.9086,0.0000,0.9193,0.0560,0.7855,0.0000,0.7898,0.1224
8,0.9093,0.0000,0.9197,0.0560,0.8162,0.0000,0.8135,0.0999
9,0.9105,0.0000,0.9209,0.0559,0.8066,0.0000,0.8099,0.1036
10,0.9101,0.0000,0.9204,0.0567,0.7924,0.0000,0.7918,0.1158
11,0.9097,0.0000,0.9203,0.0569,0.7649,0.0000,0.7626,0.1269
12,0.9114,0.0000,0.9217,0.0561,0.7595,0.0000,0.7572,0.1676
13,0.9103,0.0000,0.9208,0.0589,0.7703,0.0000,0.7746,0.1271
14,0.9117,0.0000,0.9221,0.0574,0.7707,0.0000,0.7767,0.1264
15,0.9115,0.0000,0.9219,0.0569,0.7741,0.0000,0.7759,0.1282
16,0.9111,0.0000,0.9214,0.0571,0.7685,0.0000,0.7676,0.1273
17,0.9121,0.0000,0.9222,0.0568,0.7784,0.0000,0.7730,0.1196
18,0.9119,0.0000,0.9223,0.0577,0.7700,0.0000,0.7675,0.1201
19,0.9132,0.0000,0.9232,0.0572,0.7751,0.0000,0.7729,0.1235
20,0.9126,0.0000,0.9228,0.0576,0.7610,0.0000,0.7594,0.1290
21,0.9103,0.0010,0.9208,0.0586,0.7857,0.0000,0.7822,0.1231
22,0.9124,0.0000,0.9228,0.0576,0.7631,0.0000,0.7600,0.1374
23,0.9097,0.0115,0.9202,0.0590,0.7827,0.0000,0.7795,0.1201
24,0.9075,0.0177,0.9185,0.0602,0.7698,0.0000,0.7674,0.1319
25,0.9096,0.0203,0.9202,0.0601,0.8135,0.0000,0.8112,0.1127
26,0.9051,0.0307,0.9164,0.0638,0.7987,0.0000,0.7958,0.1240
27,0.9104,0.0224,0.9210,0.0596,0.7909,0.0000,0.7844,0.1215
28,0.9121,0.0125,0.9223,0.0588,0.7820,0.0000,0.7739,0.1336
29,0.9117,0.0160,0.9221,0.0591,0.7842,0.0000,0.7870,0.1252
30,0.9126,0.0371,0.9230,0.0589,0.8137,0.0117,0.8112,0.1088
31,0.9143,0.0266,0.9244,0.0578,0.7887,0.0000,0.7905,0.1198
32,0.9127,0.0000,0.9232,0.0590,0.7889,0.0000,0.7938,0.1176
33,0.9131,0.0005,0.9235,0.0584,0.7837,0.0000,0.7817,0.1230
34,0.9113,0.0031,0.9217,0.0597,0.7620,0.0000,0.7582,0.1410
35,0.9123,0.0000,0.9230,0.0593,0.7688,0.0000,0.7666,0.1309
36,0.9127,0.0000,0.9233,0.0592,0.7546,0.0000,0.7482,0.1324
37,0.9089,0.0000,0.9198,0.0620,0.7752,0.0000,0.7761,0.1334
38,0.9113,0.0000,0.9223,0.0614,0.7999,0.0000,0.8017,0.1159
