epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.8158,0.0000,0.8348,0.1121,0.7825,0.0000,0.7790,0.1211
1,0.8954,0.0000,0.9071,0.0644,0.7759,0.0000,0.7732,0.1300
2,0.9096,0.0000,0.9197,0.0565,0.7929,0.0000,0.7866,0.1225
3,0.9178,0.0000,0.9273,0.0521,0.8104,0.0000,0.7978,0.1168
4,0.9238,0.0000,0.9326,0.0490,0.8087,0.0000,0.7992,0.1205
5,0.9254,0.0000,0.9341,0.0482,0.8091,0.0000,0.8007,0.1206
6,0.9268,0.0000,0.9353,0.0475,0.8278,0.0000,0.8207,0.1048
7,0.9286,0.0000,0.9370,0.0470,0.8156,0.0000,0.8078,0.1125
8,0.9295,0.0000,0.9378,0.0466,0.8272,0.0000,0.8224,0.1020
9,0.9302,0.0000,0.9385,0.0461,0.8233,0.0000,0.8154,0.1150
10,0.9316,0.0000,0.9397,0.0453,0.8298,0.0000,0.8236,0.1055
11,0.9318,0.0000,0.9399,0.0457,0.8220,0.0000,0.8135,0.1132
12,0.9316,0.0000,0.9397,0.0465,0.8244,0.0000,0.8138,0.1093
13,0.9323,0.0000,0.9403,0.0466,0.8246,0.0000,0.8168,0.1142
14,0.9322,0.0000,0.9401,0.0467,0.8155,0.0000,0.8054,0.1169
15,0.9335,0.0000,0.9413,0.0459,0.8250,0.0000,0.8173,0.1081
16,0.9325,0.0000,0.9406,0.0464,0.8192,0.0000,0.8107,0.1140
17,0.9332,0.0000,0.9411,0.0466,0.8125,0.0000,0.8026,0.1189
18,0.9336,0.0000,0.9414,0.0464,0.8172,0.0000,0.8079,0.1185
19,0.9347,0.0000,0.9425,0.0457,0.8153,0.0000,0.8083,0.1171
20,0.9350,0.0000,0.9428,0.0454,0.8184,0.0000,0.8114,0.1220
21,0.9344,0.0000,0.9421,0.0456,0.8173,0.0000,0.8101,0.1301
22,0.9348,0.0000,0.9425,0.0453,0.8224,0.0000,0.8162,0.1161
23,0.9352,0.0000,0.9430,0.0455,0.8197,0.0000,0.8152,0.1210
24,0.9343,0.0000,0.9421,0.0461,0.8125,0.0000,0.8094,0.1203
25,0.9355,0.0000,0.9433,0.0453,0.8133,0.0000,0.8085,0.1335
26,0.9351,0.0000,0.9429,0.0462,0.8115,0.0000,0.8072,0.1252
27,0.9355,0.0000,0.9432,0.0461,0.8174,0.0000,0.8137,0.1297
28,0.9367,0.0000,0.9443,0.0454,0.8194,0.0000,0.8155,0.1260
29,0.9370,0.0000,0.9445,0.0448,0.8257,0.0000,0.8224,0.1224
30,0.9376,0.0000,0.9449,0.0448,0.8220,0.0000,0.8177,0.1310
31,0.9373,0.0000,0.9448,0.0451,0.8272,0.0000,0.8235,0.1194
32,0.9369,0.0000,0.9445,0.0457,0.8183,0.0000,0.8144,0.1178
33,0.9375,0.0000,0.9450,0.0455,0.8343,0.0000,0.8259,0.1159
34,0.9373,0.0000,0.9448,0.0457,0.8309,0.0000,0.8256,0.1197
35,0.9369,0.0000,0.9445,0.0461,0.8323,0.0000,0.8251,0.1234
36,0.9354,0.0000,0.9430,0.0478,0.8263,0.0000,0.8208,0.1213
37,0.9368,0.0000,0.9443,0.0462,0.8129,0.0000,0.8059,0.1349
38,0.9378,0.0000,0.9453,0.0459,0.8217,0.0000,0.8125,0.1319
