epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.5951,0.0000,0.5808,0.1015,0.6136,0.0000,0.5858,0.1019
1,0.6663,0.0000,0.6726,0.0768,0.6242,0.0000,0.5910,0.0979
2,0.6776,0.0000,0.6875,0.0736,0.6290,0.0000,0.6111,0.0964
3,0.6878,0.0000,0.7016,0.0715,0.6450,0.0000,0.6365,0.0931
4,0.6921,0.0000,0.7060,0.0706,0.6328,0.0000,0.6021,0.0941
5,0.6915,0.0000,0.7005,0.0709,0.6385,0.0000,0.6407,0.0962
6,0.6960,0.0000,0.7084,0.0703,0.6449,0.0000,0.6297,0.0950
7,0.6990,0.0000,0.7083,0.0701,0.6401,0.0000,0.6115,0.0962
8,0.6962,0.0000,0.7032,0.0710,0.6474,0.0000,0.6216,0.0949
9,0.6944,0.0000,0.6999,0.0721,0.6427,0.0000,0.6216,0.0964
10,0.6983,0.0000,0.7045,0.0714,0.6349,0.0000,0.6090,0.0963
11,0.6988,0.0000,0.7021,0.0704,0.6377,0.0000,0.6009,0.0951
12,0.6993,0.0000,0.7015,0.0705,0.6442,0.0000,0.6258,0.0946
13,0.6974,0.0000,0.7080,0.0706,0.6364,0.0000,0.6141,0.0962
14,0.6905,0.0000,0.6982,0.0728,0.6376,0.0000,0.6175,0.0971
15,0.6931,0.0000,0.7014,0.0715,0.6465,0.0000,0.6232,0.0939
16,0.6793,0.0000,0.6789,0.0756,0.6277,0.0000,0.6010,0.1037
17,0.6847,0.0000,0.6869,0.0748,0.6322,0.0000,0.5961,0.0993
18,0.6842,0.0000,0.6829,0.0752,0.6285,0.0000,0.5862,0.1034
19,0.6773,0.0010,0.6723,0.0788,0.6209,0.0000,0.5652,0.1016
20,0.6573,0.0000,0.6483,0.0812,0.6025,0.0000,0.5841,0.1086
21,0.6437,0.0000,0.6373,0.0838,0.5960,0.0000,0.5790,0.1088
22,0.6454,0.0000,0.6495,0.0828,0.6068,0.0000,0.5816,0.1087
23,0.6558,0.0026,0.6563,0.0827,0.6223,0.0112,0.5870,0.1038
24,0.6692,0.0029,0.6755,0.0809,0.6214,0.0112,0.6209,0.1050
25,0.6528,0.0016,0.6600,0.0831,0.6139,0.0112,0.5720,0.1064
26,0.6455,0.0010,0.6467,0.0896,0.6043,0.0000,0.5714,0.1131
27,0.6312,0.0000,0.6219,0.0945,0.5825,0.0000,0.4887,0.1211
28,0.6317,0.0000,0.6045,0.0929,0.6162,0.0000,0.5699,0.1118
29,0.6531,0.0000,0.6536,0.0892,0.6225,0.0000,0.5928,0.1072
30,0.6576,0.0000,0.6653,0.0873,0.6298,0.0000,0.6117,0.1048
31,0.6558,0.0000,0.6593,0.0864,0.6261,0.0000,0.5842,0.1053
32,0.6594,0.0000,0.6588,0.0863,0.6253,0.0000,0.5915,0.1037
33,0.6516,0.0000,0.6580,0.0885,0.6228,0.0000,0.5770,0.1039
