epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.5597,0.0000,0.4669,0.1563,0.5585,0.0000,0.5441,0.1145
1,0.6448,0.0000,0.6407,0.0841,0.6035,0.0000,0.5943,0.1043
2,0.6698,0.0000,0.6714,0.0774,0.6297,0.0000,0.5966,0.0981
3,0.6763,0.0000,0.6806,0.0751,0.6310,0.0000,0.5798,0.0982
4,0.6745,0.0000,0.6738,0.0769,0.6345,0.0000,0.5977,0.1001
5,0.6797,0.0000,0.6811,0.0747,0.6306,0.0000,0.5803,0.0976
6,0.6834,0.0000,0.6877,0.0739,0.6340,0.0000,0.5981,0.0973
7,0.6843,0.0000,0.6860,0.0737,0.6380,0.0000,0.6056,0.0968
8,0.6842,0.0000,0.6872,0.0738,0.6375,0.0000,0.6140,0.0972
9,0.6849,0.0000,0.6878,0.0738,0.6316,0.0000,0.5917,0.0968
10,0.6860,0.0000,0.6882,0.0735,0.6290,0.0000,0.5868,0.0973
11,0.6799,0.0000,0.6820,0.0761,0.6320,0.0000,0.5882,0.1035
12,0.6795,0.0000,0.6747,0.0756,0.6279,0.0000,0.5958,0.0998
13,0.6830,0.0000,0.6861,0.0743,0.6314,0.0000,0.5890,0.0980
14,0.6846,0.0000,0.6879,0.0735,0.6363,0.0000,0.6010,0.0971
15,0.6851,0.0000,0.6885,0.0732,0.6360,0.0000,0.5990,0.0967
16,0.6862,0.0000,0.6902,0.0730,0.6418,0.0000,0.6147,0.0966
17,0.6885,0.0000,0.6901,0.0727,0.6383,0.0000,0.6061,0.0965
18,0.6872,0.0000,0.6915,0.0730,0.6342,0.0000,0.6015,0.0981
19,0.6891,0.0000,0.6931,0.0724,0.6435,0.0000,0.6129,0.0961
20,0.6876,0.0000,0.6892,0.0733,0.6397,0.0000,0.6212,0.0973
21,0.6882,0.0000,0.6920,0.0727,0.6324,0.0000,0.5775,0.0970
22,0.6886,0.0000,0.6914,0.0726,0.6429,0.0000,0.6188,0.0960
23,0.6887,0.0000,0.6895,0.0726,0.6397,0.0000,0.6073,0.0961
24,0.6894,0.0000,0.6931,0.0727,0.6324,0.0000,0.6003,0.0967
25,0.6856,0.0000,0.6849,0.0732,0.6351,0.0000,0.6014,0.0983
26,0.6870,0.0000,0.6918,0.0732,0.6396,0.0000,0.6063,0.0968
27,0.6894,0.0000,0.6920,0.0727,0.6349,0.0000,0.6021,0.0961
28,0.6885,0.0000,0.6908,0.0733,0.6315,0.0000,0.5950,0.0979
29,0.6782,0.0000,0.6721,0.0754,0.6334,0.0000,0.5993,0.1024
30,0.6794,0.0003,0.6824,0.0758,0.6328,0.0000,0.6022,0.0979
31,0.6811,0.0000,0.6797,0.0781,0.6196,0.0000,0.5704,0.1000
32,0.6808,0.0003,0.6872,0.0756,0.6367,0.0000,0.5992,0.0971
33,0.6887,0.0000,0.6916,0.0736,0.6374,0.0000,0.6066,0.0975
34,0.6893,0.0000,0.6942,0.0740,0.6396,0.0000,0.6145,0.0984
35,0.6774,0.0023,0.6757,0.0893,0.6233,0.0000,0.5693,0.1167
36,0.6578,0.0000,0.6396,0.0920,0.6085,0.0000,0.5770,0.1089
37,0.6535,0.0000,0.6592,0.0829,0.6030,0.0000,0.5811,0.1091
38,0.6490,0.0000,0.6574,0.0835,0.5938,0.0000,0.5956,0.1086
39,0.6502,0.0000,0.6568,0.0829,0.6000,0.0000,0.5789,0.1087
40,0.6518,0.0030,0.6600,0.0821,0.6071,0.0112,0.6016,0.1073
41,0.6540,0.0111,0.6622,0.0821,0.6070,0.0000,0.6011,0.1072
42,0.6531,0.0007,0.6652,0.0823,0.6038,0.0000,0.5736,0.1080
43,0.6524,0.0033,0.6580,0.0823,0.6113,0.0000,0.6014,0.1065
44,0.6560,0.0020,0.6628,0.0814,0.6024,0.0146,0.6007,0.1068
45,0.6563,0.0144,0.6663,0.0812,0.6087,0.0134,0.5956,0.1074
46,0.6566,0.0179,0.6636,0.0809,0.6057,0.0089,0.6020,0.1070
47,0.6548,0.0120,0.6616,0.0814,0.6058,0.0000,0.5929,0.1072
48,0.6560,0.0234,0.6651,0.0809,0.6066,0.0191,0.6050,0.1070
49,0.6549,0.0107,0.6652,0.0817,0.6082,0.0000,0.5907,0.1072
