epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6337,0.0000,0.6524,0.2160,0.6158,0.0000,0.6073,0.2151
1,0.6608,0.0000,0.6801,0.1975,0.6178,0.0000,0.6004,0.2122
2,0.6614,0.0000,0.6783,0.1949,0.6402,0.0000,0.5944,0.1899
3,0.7112,0.0000,0.7403,0.1687,0.7034,0.0000,0.7130,0.1766
4,0.7342,0.0000,0.7729,0.1606,0.6806,0.0000,0.6946,0.1819
5,0.7352,0.0000,0.7722,0.1583,0.6911,0.0000,0.7056,0.1727
6,0.7343,0.0000,0.7738,0.1563,0.6951,0.0000,0.7034,0.1714
7,0.7371,0.0000,0.7732,0.1549,0.7103,0.0000,0.7184,0.1613
8,0.7354,0.0000,0.7733,0.1521,0.7043,0.0000,0.7115,0.1629
9,0.7360,0.0000,0.7726,0.1513,0.7030,0.0000,0.7123,0.1640
10,0.7378,0.0000,0.7745,0.1508,0.6988,0.0000,0.7126,0.1660
11,0.7376,0.0000,0.7760,0.1497,0.6896,0.0000,0.7037,0.1651
12,0.7363,0.0000,0.7730,0.1500,0.6941,0.0000,0.7078,0.1679
13,0.7377,0.0000,0.7757,0.1497,0.6919,0.0000,0.7068,0.1663
14,0.7367,0.0000,0.7732,0.1502,0.6969,0.0000,0.7048,0.1645
15,0.7383,0.0000,0.7758,0.1487,0.6985,0.0000,0.7111,0.1623
16,0.7377,0.0000,0.7750,0.1490,0.6951,0.0000,0.7077,0.1653
17,0.7373,0.0000,0.7744,0.1494,0.6957,0.0000,0.7056,0.1635
18,0.7370,0.0000,0.7752,0.1494,0.7048,0.0000,0.7100,0.1614
19,0.7393,0.0000,0.7747,0.1482,0.6990,0.0000,0.7121,0.1651
20,0.7392,0.0000,0.7771,0.1484,0.6958,0.0000,0.7072,0.1641
21,0.7379,0.0000,0.7745,0.1495,0.6874,0.0000,0.7032,0.1668
22,0.7377,0.0000,0.7757,0.1494,0.6931,0.0000,0.7034,0.1652
23,0.7368,0.0000,0.7729,0.1497,0.7025,0.0000,0.7127,0.1642
24,0.7370,0.0000,0.7751,0.1496,0.6838,0.0000,0.7004,0.1691
25,0.7387,0.0000,0.7766,0.1486,0.6882,0.0000,0.7042,0.1658
26,0.7388,0.0000,0.7750,0.1485,0.6929,0.0000,0.7045,0.1650
27,0.7394,0.0000,0.7769,0.1486,0.6881,0.0000,0.7072,0.1701
28,0.7376,0.0000,0.7763,0.1493,0.7009,0.0000,0.7117,0.1622
29,0.7379,0.0000,0.7762,0.1492,0.7004,0.0000,0.7116,0.1643
30,0.7353,0.0000,0.7720,0.1524,0.6928,0.0000,0.7066,0.1699
31,0.7383,0.0000,0.7750,0.1504,0.6978,0.0000,0.7070,0.1650
32,0.7376,0.0000,0.7758,0.1493,0.6881,0.0000,0.7038,0.1685
33,0.7378,0.0000,0.7751,0.1493,0.6926,0.0000,0.7083,0.1659
34,0.7394,0.0000,0.7764,0.1489,0.6887,0.0000,0.7033,0.1679
35,0.7385,0.0000,0.7752,0.1488,0.6957,0.0000,0.7078,0.1682
36,0.7382,0.0000,0.7750,0.1489,0.6913,0.0000,0.7061,0.1705
37,0.7387,0.0000,0.7761,0.1492,0.6785,0.0000,0.6959,0.1722
