epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7534,0.0000,0.7778,0.1364,0.6917,0.0000,0.6938,0.1538
1,0.8215,0.0000,0.8426,0.1013,0.7367,0.0000,0.7349,0.1363
2,0.8380,0.0000,0.8565,0.0929,0.7478,0.0000,0.7466,0.1293
3,0.8467,0.0000,0.8640,0.0889,0.7272,0.0000,0.7341,0.1485
4,0.8513,0.0000,0.8686,0.0868,0.7466,0.0000,0.7418,0.1368
5,0.8555,0.0000,0.8715,0.0844,0.7733,0.0000,0.7629,0.1240
6,0.8570,0.0000,0.8727,0.0839,0.7366,0.0000,0.7368,0.1410
7,0.8567,0.0000,0.8728,0.0841,0.7532,0.0000,0.7442,0.1291
8,0.8559,0.0000,0.8715,0.0843,0.7559,0.0000,0.7507,0.1311
9,0.8591,0.0000,0.8752,0.0825,0.7429,0.0000,0.7365,0.1317
10,0.8619,0.0000,0.8771,0.0807,0.7741,0.0000,0.7712,0.1212
11,0.8632,0.0000,0.8782,0.0799,0.7406,0.0000,0.7435,0.1430
12,0.8666,0.0000,0.8815,0.0786,0.7566,0.0000,0.7623,0.1413
13,0.8647,0.0000,0.8797,0.0800,0.7522,0.0000,0.7578,0.1410
14,0.8660,0.0000,0.8812,0.0791,0.7356,0.0000,0.7402,0.1557
15,0.8670,0.0000,0.8819,0.0782,0.7436,0.0000,0.7503,0.1415
16,0.8690,0.0000,0.8839,0.0762,0.7306,0.0000,0.7316,0.1458
17,0.8684,0.0000,0.8832,0.0778,0.7651,0.0000,0.7617,0.1211
18,0.8698,0.0000,0.8843,0.0769,0.7364,0.0000,0.7389,0.1496
19,0.8714,0.0000,0.8859,0.0757,0.7342,0.0000,0.7338,0.1457
20,0.8689,0.0000,0.8837,0.0777,0.7545,0.0000,0.7520,0.1271
21,0.8722,0.0000,0.8866,0.0759,0.7589,0.0000,0.7556,0.1335
22,0.8720,0.0000,0.8863,0.0759,0.7711,0.0000,0.7667,0.1224
23,0.8702,0.0000,0.8848,0.0776,0.7397,0.0000,0.7459,0.1476
24,0.8724,0.0000,0.8869,0.0758,0.7448,0.0000,0.7510,0.1425
25,0.8711,0.0000,0.8859,0.0766,0.7489,0.0000,0.7554,0.1425
26,0.8643,0.0000,0.8796,0.0817,0.7522,0.0000,0.7566,0.1453
27,0.8661,0.0000,0.8814,0.0812,0.7361,0.0000,0.7431,0.1555
28,0.8668,0.0000,0.8818,0.0810,0.7458,0.0000,0.7506,0.1464
29,0.8684,0.0000,0.8835,0.0798,0.7410,0.0000,0.7428,0.1401
30,0.8675,0.0000,0.8825,0.0791,0.7431,0.0000,0.7469,0.1479
31,0.8693,0.0000,0.8843,0.0784,0.7215,0.0000,0.7279,0.1559
32,0.8691,0.0000,0.8844,0.0794,0.7512,0.0000,0.7547,0.1475
33,0.8731,0.0000,0.8872,0.0764,0.7325,0.0000,0.7344,0.1509
34,0.8725,0.0000,0.8869,0.0763,0.7478,0.0000,0.7524,0.1476
35,0.8708,0.0000,0.8854,0.0781,0.7473,0.0000,0.7535,0.1480
36,0.8678,0.0000,0.8828,0.0806,0.7439,0.0000,0.7481,0.1458
37,0.8716,0.0000,0.8861,0.0776,0.7476,0.0000,0.7515,0.1393
38,0.8729,0.0000,0.8873,0.0766,0.7545,0.0000,0.7559,0.1391
39,0.8731,0.0000,0.8875,0.0762,0.7441,0.0000,0.7473,0.1402
40,0.8705,0.0000,0.8852,0.0782,0.7439,0.0000,0.7491,0.1426
41,0.8731,0.0000,0.8877,0.0762,0.7454,0.0000,0.7524,0.1435
42,0.8754,0.0000,0.8898,0.0751,0.7379,0.0000,0.7419,0.1448
43,0.8726,0.0000,0.8871,0.0778,0.7497,0.0000,0.7529,0.1434
44,0.8768,0.0000,0.8910,0.0744,0.7504,0.0000,0.7563,0.1429
45,0.8761,0.0000,0.8901,0.0752,0.7541,0.0000,0.7537,0.1302
46,0.8726,0.0000,0.8870,0.0777,0.7547,0.0000,0.7495,0.1283
47,0.8719,0.0000,0.8868,0.0784,0.7340,0.0000,0.7407,0.1565
