epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6567,0.0000,0.7048,0.2035,0.6083,0.0000,0.6637,0.1967
1,0.6719,0.0000,0.7238,0.1736,0.6141,0.0000,0.6645,0.1806
2,0.6752,0.0000,0.7332,0.1712,0.6184,0.0000,0.6680,0.1788
3,0.6766,0.0000,0.7326,0.1711,0.6285,0.0000,0.6430,0.1741
4,0.6776,0.0000,0.7324,0.1705,0.6324,0.0000,0.6604,0.1770
5,0.6777,0.0000,0.7321,0.1704,0.6303,0.0000,0.6521,0.1751
6,0.6781,0.0000,0.7318,0.1702,0.6298,0.0000,0.6724,0.1766
7,0.6810,0.0000,0.7364,0.1698,0.6241,0.0000,0.6426,0.1729
8,0.6783,0.0000,0.7284,0.1704,0.6311,0.0000,0.6776,0.1821
9,0.6794,0.0000,0.7312,0.1702,0.6292,0.0000,0.6589,0.1743
10,0.6802,0.0000,0.7350,0.1700,0.6241,0.0000,0.6426,0.1735
11,0.6800,0.0000,0.7333,0.1700,0.6343,0.0000,0.6669,0.1743
12,0.6809,0.0000,0.7336,0.1701,0.6314,0.0000,0.6669,0.1783
13,0.6803,0.0000,0.7345,0.1698,0.6303,0.0000,0.6622,0.1760
14,0.6801,0.0000,0.7335,0.1700,0.6279,0.0000,0.6780,0.1808
15,0.6800,0.0000,0.7353,0.1700,0.6323,0.0000,0.6492,0.1731
16,0.6813,0.0000,0.7347,0.1697,0.6310,0.0000,0.6555,0.1736
17,0.6804,0.0000,0.7330,0.1699,0.6293,0.0000,0.6744,0.1779
18,0.6814,0.0000,0.7356,0.1697,0.6313,0.0000,0.6744,0.1783
19,0.6805,0.0000,0.7352,0.1698,0.6327,0.0000,0.6705,0.1763
20,0.6803,0.0000,0.7357,0.1698,0.6316,0.0000,0.6674,0.1784
21,0.6805,0.0000,0.7332,0.1700,0.6273,0.0000,0.6686,0.1762
22,0.6805,0.0000,0.7359,0.1698,0.6307,0.0000,0.6532,0.1753
23,0.6802,0.0000,0.7345,0.1699,0.6313,0.0000,0.6744,0.1790
24,0.6810,0.0000,0.7343,0.1697,0.6327,0.0000,0.6705,0.1766
25,0.6819,0.0000,0.7370,0.1696,0.6314,0.0000,0.6476,0.1733
26,0.6819,0.0000,0.7344,0.1696,0.6327,0.0000,0.6705,0.1758
27,0.6801,0.0000,0.7351,0.1698,0.6295,0.0000,0.6594,0.1756
28,0.6802,0.0000,0.7346,0.1698,0.6327,0.0000,0.6705,0.1753
29,0.6796,0.0000,0.7339,0.1700,0.6325,0.0000,0.6594,0.1759
30,0.6797,0.0000,0.7330,0.1700,0.6259,0.0000,0.6725,0.1795
31,0.6810,0.0000,0.7365,0.1697,0.6294,0.0000,0.6594,0.1745
32,0.6804,0.0000,0.7341,0.1699,0.6262,0.0000,0.6765,0.1809
33,0.6810,0.0000,0.7364,0.1701,0.6306,0.0000,0.6627,0.1763
34,0.6804,0.0000,0.7347,0.1700,0.6284,0.0000,0.6717,0.1794
35,0.6812,0.0000,0.7351,0.1698,0.6295,0.0000,0.6594,0.1765
36,0.6799,0.0000,0.7340,0.1698,0.6319,0.0000,0.6717,0.1789
37,0.6787,0.0000,0.7331,0.1702,0.6248,0.0000,0.6679,0.1764
