epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.5672,0.0000,0.7155,0.2041,0.5194,0.0000,0.5457,0.2273
1,0.5743,0.0000,0.7223,0.1982,0.5103,0.0000,0.6560,0.1950
2,0.5754,0.0000,0.7237,0.1976,0.5101,0.0000,0.6573,0.1951
3,0.5761,0.0000,0.7241,0.1974,0.5086,0.0000,0.6542,0.1962
4,0.5776,0.0000,0.7250,0.1970,0.5116,0.0000,0.6583,0.1958
5,0.5772,0.0000,0.7248,0.1971,0.5106,0.0000,0.6572,0.1948
6,0.5768,0.0000,0.7244,0.1972,0.5136,0.0000,0.6568,0.1955
7,0.6247,0.0000,0.7343,0.1866,0.6020,0.0000,0.6692,0.1846
8,0.7505,0.0000,0.7907,0.1425,0.6901,0.0000,0.6635,0.1770
9,0.7869,0.0000,0.8227,0.1247,0.7147,0.0000,0.7086,0.1550
10,0.8120,0.0000,0.8413,0.1109,0.7107,0.0000,0.7345,0.1573
11,0.8339,0.0000,0.8584,0.1000,0.7247,0.0000,0.7301,0.1563
12,0.8459,0.0000,0.8681,0.0932,0.7434,0.0000,0.7550,0.1428
13,0.8547,0.0000,0.8755,0.0882,0.7314,0.0000,0.7551,0.1477
14,0.8620,0.0000,0.8814,0.0841,0.7062,0.0000,0.7456,0.1709
15,0.8705,0.0000,0.8886,0.0797,0.7458,0.0000,0.7561,0.1449
16,0.8765,0.0000,0.8936,0.0767,0.7522,0.0000,0.7726,0.1431
17,0.8817,0.0000,0.8979,0.0738,0.7580,0.0000,0.7609,0.1430
18,0.8865,0.0000,0.9020,0.0713,0.7380,0.0000,0.7627,0.1494
19,0.8883,0.0000,0.9037,0.0700,0.7554,0.0000,0.7511,0.1476
20,0.8914,0.0000,0.9060,0.0684,0.7531,0.0000,0.7552,0.1443
21,0.8957,0.0000,0.9096,0.0658,0.7541,0.0000,0.7643,0.1406
22,0.8963,0.0000,0.9102,0.0655,0.7615,0.0000,0.7643,0.1404
23,0.8987,0.0000,0.9122,0.0640,0.7712,0.0000,0.7650,0.1336
24,0.9028,0.0000,0.9158,0.0618,0.7589,0.0000,0.7641,0.1385
25,0.9036,0.0000,0.9165,0.0610,0.7736,0.0000,0.7754,0.1408
26,0.9076,0.0000,0.9198,0.0586,0.7515,0.0000,0.7641,0.1410
27,0.9088,0.0000,0.9207,0.0579,0.7539,0.0000,0.7689,0.1492
28,0.9115,0.0000,0.9230,0.0564,0.7702,0.0000,0.7738,0.1359
29,0.9145,0.0000,0.9255,0.0546,0.7629,0.0000,0.7720,0.1384
30,0.9158,0.0000,0.9267,0.0536,0.7700,0.0000,0.7661,0.1365
31,0.9176,0.0000,0.9282,0.0525,0.7589,0.0000,0.7728,0.1434
32,0.9195,0.0000,0.9297,0.0515,0.7631,0.0000,0.7701,0.1362
33,0.9203,0.0000,0.9305,0.0509,0.7610,0.0000,0.7661,0.1381
34,0.9224,0.0000,0.9321,0.0497,0.7669,0.0000,0.7746,0.1401
35,0.9242,0.0000,0.9337,0.0486,0.7704,0.0000,0.7782,0.1378
36,0.9256,0.0000,0.9349,0.0474,0.7802,0.0000,0.7832,0.1321
37,0.9282,0.0000,0.9371,0.0462,0.7718,0.0000,0.7789,0.1349
38,0.9273,0.0000,0.9363,0.0468,0.7753,0.0000,0.7847,0.1365
39,0.9278,0.0000,0.9367,0.0462,0.7746,0.0000,0.7850,0.1369
40,0.9293,0.0000,0.9380,0.0454,0.7841,0.0000,0.7869,0.1277
41,0.9315,0.0000,0.9399,0.0440,0.7855,0.0000,0.7852,0.1280
42,0.9333,0.0000,0.9414,0.0431,0.7937,0.0000,0.7872,0.1323
43,0.9325,0.0000,0.9408,0.0433,0.7763,0.0000,0.7866,0.1358
44,0.9344,0.0000,0.9424,0.0424,0.7885,0.0000,0.7861,0.1303
45,0.9342,0.0000,0.9422,0.0425,0.7795,0.0000,0.7837,0.1339
46,0.9347,0.0000,0.9427,0.0422,0.7679,0.0000,0.7732,0.1386
47,0.9344,0.0000,0.9424,0.0422,0.7627,0.0000,0.7761,0.1416
48,0.9370,0.0000,0.9447,0.0408,0.7936,0.0000,0.7924,0.1292
49,0.9363,0.0000,0.9440,0.0413,0.7896,0.0000,0.7820,0.1253
