epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6659,0.0000,0.6755,0.1842,0.6422,0.0000,0.6251,0.1761
1,0.7595,0.0000,0.7945,0.1375,0.6596,0.0000,0.7036,0.1864
2,0.7762,0.0000,0.8078,0.1296,0.6515,0.0000,0.7097,0.1866
3,0.7803,0.0000,0.8123,0.1271,0.7038,0.0000,0.7165,0.1571
4,0.7853,0.0000,0.8168,0.1246,0.6851,0.0000,0.7212,0.1681
5,0.7923,0.0000,0.8227,0.1215,0.7104,0.0000,0.7231,0.1600
6,0.7956,0.0000,0.8255,0.1202,0.7114,0.0000,0.7228,0.1576
7,0.7978,0.0000,0.8270,0.1189,0.7178,0.0000,0.7195,0.1523
8,0.7986,0.0000,0.8269,0.1183,0.6857,0.0000,0.7270,0.1685
9,0.8017,0.0000,0.8298,0.1170,0.7026,0.0000,0.7356,0.1685
10,0.8065,0.0000,0.8337,0.1150,0.7064,0.0000,0.7365,0.1624
11,0.8068,0.0000,0.8342,0.1145,0.7277,0.0000,0.7431,0.1518
12,0.8098,0.0000,0.8361,0.1132,0.7030,0.0000,0.7319,0.1617
13,0.8089,0.0000,0.8356,0.1138,0.6702,0.0000,0.7256,0.1772
14,0.8089,0.0000,0.8359,0.1132,0.7268,0.0000,0.7392,0.1528
15,0.8101,0.0000,0.8364,0.1127,0.7195,0.0000,0.7332,0.1548
16,0.8113,0.0000,0.8377,0.1124,0.7034,0.0000,0.7346,0.1597
17,0.8111,0.0000,0.8375,0.1120,0.6992,0.0000,0.7342,0.1663
18,0.8115,0.0000,0.8375,0.1123,0.7017,0.0000,0.7330,0.1641
19,0.8117,0.0000,0.8380,0.1122,0.7071,0.0000,0.7364,0.1622
20,0.8133,0.0000,0.8393,0.1112,0.7090,0.0000,0.7238,0.1541
21,0.8119,0.0000,0.8383,0.1115,0.7125,0.0000,0.7380,0.1620
22,0.8137,0.0000,0.8397,0.1110,0.7104,0.0000,0.7354,0.1596
23,0.8149,0.0000,0.8410,0.1108,0.7230,0.0000,0.7400,0.1539
24,0.8105,0.0000,0.8369,0.1127,0.6936,0.0000,0.7315,0.1663
25,0.8142,0.0000,0.8395,0.1107,0.6697,0.0000,0.7229,0.1856
26,0.8164,0.0000,0.8416,0.1101,0.7244,0.0000,0.7326,0.1547
27,0.8177,0.0000,0.8428,0.1094,0.7028,0.0000,0.7381,0.1710
28,0.8156,0.0000,0.8407,0.1103,0.7214,0.0000,0.7217,0.1516
29,0.8149,0.0000,0.8400,0.1103,0.6974,0.0000,0.7325,0.1729
30,0.8177,0.0000,0.8424,0.1094,0.7063,0.0000,0.7359,0.1663
31,0.8186,0.0000,0.8435,0.1088,0.7066,0.0000,0.7323,0.1620
32,0.8171,0.0000,0.8418,0.1097,0.7115,0.0000,0.7276,0.1579
33,0.8194,0.0000,0.8443,0.1088,0.7043,0.0000,0.7356,0.1641
34,0.8186,0.0000,0.8434,0.1087,0.7130,0.0000,0.7229,0.1584
35,0.8182,0.0000,0.8429,0.1089,0.7130,0.0000,0.7250,0.1596
36,0.8177,0.0000,0.8424,0.1092,0.7076,0.0000,0.7366,0.1637
37,0.8203,0.0000,0.8450,0.1079,0.7208,0.0000,0.7381,0.1579
38,0.8189,0.0000,0.8437,0.1084,0.7124,0.0000,0.7364,0.1617
39,0.8189,0.0000,0.8438,0.1086,0.7221,0.0000,0.7331,0.1557
40,0.8206,0.0000,0.8450,0.1077,0.7245,0.0000,0.7286,0.1533
41,0.8194,0.0000,0.8441,0.1082,0.7189,0.0000,0.7343,0.1587
42,0.8186,0.0000,0.8435,0.1084,0.7128,0.0000,0.7306,0.1585
43,0.8193,0.0000,0.8437,0.1083,0.7198,0.0000,0.7229,0.1545
44,0.8207,0.0000,0.8453,0.1075,0.7218,0.0000,0.7316,0.1540
45,0.8209,0.0000,0.8453,0.1076,0.7182,0.0000,0.7350,0.1582
46,0.8214,0.0000,0.8455,0.1073,0.7107,0.0000,0.7401,0.1647
47,0.8203,0.0000,0.8448,0.1078,0.7166,0.0000,0.7291,0.1574
48,0.8215,0.0000,0.8460,0.1071,0.7158,0.0000,0.7365,0.1606
49,0.8222,0.0000,0.8464,0.1070,0.7077,0.0000,0.7298,0.1655
