epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6831,0.0000,0.7365,0.1826,0.7021,0.0000,0.7664,0.1914
1,0.7788,0.0000,0.8095,0.1291,0.7565,0.0000,0.7843,0.1401
2,0.8118,0.0000,0.8374,0.1124,0.7963,0.0000,0.8361,0.1207
3,0.8375,0.0000,0.8588,0.0987,0.8353,0.0000,0.8623,0.1046
4,0.8600,0.0000,0.8779,0.0870,0.8445,0.0000,0.8730,0.0970
5,0.8738,0.0000,0.8896,0.0791,0.8520,0.0000,0.8792,0.0932
6,0.8837,0.0000,0.8979,0.0734,0.8766,0.0000,0.8927,0.0774
7,0.8918,0.0000,0.9050,0.0685,0.8810,0.0000,0.8939,0.0750
8,0.8984,0.0000,0.9106,0.0648,0.8744,0.0000,0.8940,0.0780
9,0.9054,0.0000,0.9166,0.0607,0.9003,0.0000,0.9138,0.0637
10,0.9124,0.0000,0.9228,0.0562,0.9017,0.0000,0.9144,0.0645
11,0.9159,0.0000,0.9259,0.0545,0.9043,0.0000,0.9168,0.0688
12,0.9208,0.0000,0.9301,0.0515,0.9092,0.0000,0.9206,0.0587
13,0.9213,0.0000,0.9305,0.0511,0.9086,0.0000,0.9188,0.0597
14,0.9251,0.0000,0.9339,0.0491,0.9131,0.0000,0.9242,0.0568
15,0.9277,0.0000,0.9362,0.0474,0.9160,0.0000,0.9262,0.0550
16,0.9298,0.0000,0.9380,0.0460,0.9127,0.0000,0.9230,0.0567
17,0.9325,0.0000,0.9403,0.0444,0.9140,0.0000,0.9238,0.0564
18,0.9326,0.0000,0.9405,0.0445,0.9172,0.0000,0.9267,0.0543
19,0.9346,0.0000,0.9422,0.0432,0.9165,0.0000,0.9260,0.0549
20,0.9370,0.0000,0.9443,0.0417,0.9162,0.0000,0.9252,0.0541
21,0.9390,0.0000,0.9460,0.0406,0.9175,0.0000,0.9267,0.0540
22,0.9398,0.0000,0.9467,0.0402,0.9217,0.0000,0.9312,0.0521
23,0.9414,0.0000,0.9482,0.0394,0.9233,0.0000,0.9325,0.0506
24,0.9423,0.0000,0.9489,0.0386,0.9234,0.0000,0.9325,0.0511
25,0.9427,0.0000,0.9492,0.0381,0.9228,0.0000,0.9310,0.0515
26,0.9440,0.0000,0.9504,0.0375,0.9232,0.0000,0.9317,0.0514
27,0.9443,0.0000,0.9506,0.0372,0.9182,0.0000,0.9269,0.0539
28,0.9443,0.0000,0.9507,0.0372,0.9242,0.0000,0.9332,0.0505
29,0.9477,0.0000,0.9536,0.0352,0.9262,0.0000,0.9347,0.0495
30,0.9484,0.0000,0.9543,0.0350,0.9241,0.0000,0.9333,0.0506
31,0.9475,0.0000,0.9536,0.0351,0.9234,0.0000,0.9318,0.0512
32,0.9479,0.0000,0.9538,0.0349,0.9228,0.0000,0.9325,0.0514
33,0.9498,0.0000,0.9555,0.0340,0.9222,0.0000,0.9325,0.0521
34,0.9494,0.0000,0.9552,0.0343,0.9243,0.0000,0.9328,0.0509
35,0.9511,0.0000,0.9567,0.0332,0.9276,0.0000,0.9361,0.0486
36,0.9516,0.0000,0.9571,0.0328,0.9225,0.0000,0.9330,0.0513
37,0.9537,0.0000,0.9589,0.0316,0.9292,0.0000,0.9374,0.0485
38,0.9541,0.0000,0.9593,0.0312,0.9269,0.0000,0.9361,0.0490
39,0.9536,0.0000,0.9588,0.0316,0.9209,0.0000,0.9300,0.0533
40,0.9547,0.0000,0.9599,0.0311,0.9289,0.0000,0.9373,0.0482
41,0.9545,0.0000,0.9597,0.0309,0.9230,0.0000,0.9310,0.0518
42,0.9554,0.0000,0.9604,0.0306,0.9313,0.0000,0.9396,0.0469
43,0.9558,0.0000,0.9608,0.0303,0.9259,0.0000,0.9350,0.0504
44,0.9549,0.0000,0.9600,0.0306,0.9295,0.0000,0.9383,0.0479
45,0.9564,0.0000,0.9613,0.0298,0.9314,0.0000,0.9396,0.0472
46,0.9568,0.0000,0.9617,0.0295,0.9330,0.0000,0.9407,0.0460
47,0.9593,0.0000,0.9638,0.0282,0.9319,0.0000,0.9400,0.0470
48,0.9597,0.0000,0.9642,0.0279,0.9316,0.0000,0.9396,0.0470
49,0.9605,0.0000,0.9650,0.0274,0.9324,0.0000,0.9400,0.0469
