epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7131,0.0000,0.7445,0.1611,0.5756,0.0000,0.4696,0.2977
1,0.7995,0.0000,0.8302,0.1192,0.7825,0.0000,0.7951,0.1280
2,0.8316,0.0000,0.8554,0.1016,0.8087,0.0000,0.8234,0.1153
3,0.8665,0.0000,0.8836,0.0830,0.8594,0.0000,0.8826,0.0873
4,0.8932,0.0000,0.9062,0.0678,0.8845,0.0000,0.9028,0.0729
5,0.9100,0.0000,0.9209,0.0580,0.9141,0.0000,0.9234,0.0561
6,0.9211,0.0000,0.9304,0.0512,0.9182,0.0000,0.9282,0.0532
7,0.9300,0.0000,0.9382,0.0457,0.9166,0.0000,0.9280,0.0547
8,0.9376,0.0000,0.9449,0.0411,0.9290,0.0000,0.9380,0.0467
9,0.9427,0.0000,0.9494,0.0382,0.9339,0.0000,0.9416,0.0433
10,0.9471,0.0000,0.9532,0.0351,0.9374,0.0000,0.9448,0.0413
11,0.9529,0.0000,0.9583,0.0315,0.9403,0.0000,0.9479,0.0400
12,0.9552,0.0000,0.9604,0.0300,0.9479,0.0000,0.9546,0.0355
13,0.9590,0.0000,0.9637,0.0276,0.9487,0.0000,0.9545,0.0349
14,0.9604,0.0000,0.9649,0.0269,0.9429,0.0000,0.9502,0.0391
15,0.9631,0.0000,0.9673,0.0252,0.9527,0.0000,0.9583,0.0322
16,0.9632,0.0000,0.9673,0.0250,0.9456,0.0000,0.9525,0.0363
17,0.9670,0.0000,0.9708,0.0227,0.9539,0.0000,0.9593,0.0318
18,0.9686,0.0000,0.9721,0.0218,0.9557,0.0000,0.9608,0.0307
19,0.9693,0.0000,0.9728,0.0213,0.9532,0.0000,0.9591,0.0318
20,0.9690,0.0000,0.9725,0.0214,0.9556,0.0000,0.9608,0.0306
21,0.9713,0.0000,0.9745,0.0200,0.9563,0.0000,0.9609,0.0302
22,0.9730,0.0000,0.9760,0.0189,0.9571,0.0000,0.9623,0.0298
23,0.9737,0.0000,0.9767,0.0186,0.9553,0.0000,0.9609,0.0307
24,0.9752,0.0000,0.9780,0.0174,0.9611,0.0000,0.9655,0.0273
25,0.9755,0.0000,0.9782,0.0172,0.9583,0.0000,0.9633,0.0286
26,0.9753,0.0000,0.9781,0.0172,0.9604,0.0000,0.9649,0.0274
27,0.9773,0.0000,0.9799,0.0161,0.9618,0.0000,0.9661,0.0270
28,0.9775,0.0000,0.9800,0.0158,0.9603,0.0000,0.9649,0.0278
29,0.9777,0.0000,0.9802,0.0157,0.9598,0.0000,0.9644,0.0282
30,0.9782,0.0000,0.9806,0.0154,0.9620,0.0000,0.9665,0.0266
31,0.9771,0.0000,0.9797,0.0161,0.9603,0.0000,0.9651,0.0281
32,0.9779,0.0000,0.9804,0.0155,0.9604,0.0000,0.9652,0.0276
33,0.9789,0.0000,0.9813,0.0150,0.9621,0.0000,0.9665,0.0268
34,0.9797,0.0000,0.9820,0.0141,0.9635,0.0000,0.9676,0.0260
35,0.9806,0.0000,0.9828,0.0138,0.9614,0.0000,0.9656,0.0272
36,0.9816,0.0000,0.9837,0.0132,0.9644,0.0000,0.9686,0.0254
37,0.9820,0.0000,0.9840,0.0130,0.9629,0.0000,0.9671,0.0258
38,0.9823,0.0000,0.9842,0.0128,0.9632,0.0000,0.9676,0.0258
39,0.9825,0.0000,0.9845,0.0126,0.9639,0.0000,0.9681,0.0259
40,0.9826,0.0000,0.9845,0.0125,0.9615,0.0000,0.9658,0.0269
41,0.9824,0.0000,0.9844,0.0126,0.9631,0.0000,0.9674,0.0259
42,0.9826,0.0000,0.9845,0.0124,0.9637,0.0000,0.9679,0.0255
43,0.9823,0.0000,0.9843,0.0125,0.9629,0.0000,0.9672,0.0261
44,0.9834,0.0000,0.9852,0.0120,0.9642,0.0000,0.9681,0.0255
45,0.9834,0.0000,0.9852,0.0119,0.9630,0.0000,0.9672,0.0262
46,0.9843,0.0000,0.9860,0.0114,0.9655,0.0000,0.9694,0.0248
47,0.9829,0.0000,0.9848,0.0122,0.9654,0.0000,0.9695,0.0250
48,0.9835,0.0000,0.9853,0.0120,0.9632,0.0000,0.9676,0.0264
49,0.9844,0.0000,0.9861,0.0113,0.9645,0.0000,0.9687,0.0253
