epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7637,0.0000,0.7879,0.1955,0.8097,0.0000,0.8292,0.1591
1,0.8221,0.0000,0.8400,0.1476,0.8271,0.0000,0.8443,0.1444
2,0.8313,0.0000,0.8480,0.1400,0.8302,0.0000,0.8470,0.1416
3,0.8353,0.0000,0.8511,0.1366,0.8346,0.0000,0.8511,0.1386
4,0.8402,0.0000,0.8555,0.1327,0.8406,0.0000,0.8563,0.1331
5,0.8433,0.0000,0.8582,0.1300,0.8415,0.0000,0.8570,0.1322
6,0.8447,0.0000,0.8594,0.1290,0.8408,0.0000,0.8564,0.1330
7,0.8453,0.0000,0.8601,0.1285,0.8421,0.0000,0.8574,0.1317
8,0.8470,0.0000,0.8616,0.1271,0.8444,0.0000,0.8601,0.1299
9,0.8494,0.0000,0.8641,0.1250,0.8478,0.0000,0.8634,0.1271
10,0.8526,0.0000,0.8671,0.1225,0.8484,0.0000,0.8638,0.1266
11,0.8535,0.0000,0.8679,0.1217,0.8500,0.0000,0.8652,0.1252
12,0.8543,0.0000,0.8685,0.1210,0.8506,0.0000,0.8657,0.1247
13,0.8561,0.0000,0.8702,0.1195,0.8522,0.0000,0.8676,0.1236
14,0.8581,0.0000,0.8723,0.1180,0.8532,0.0000,0.8684,0.1227
15,0.8590,0.0000,0.8733,0.1172,0.8548,0.0000,0.8699,0.1215
16,0.8605,0.0000,0.8746,0.1161,0.8547,0.0000,0.8698,0.1212
17,0.8610,0.0000,0.8750,0.1156,0.8555,0.0000,0.8706,0.1207
18,0.8613,0.0000,0.8754,0.1153,0.8561,0.0000,0.8710,0.1203
19,0.8615,0.0000,0.8755,0.1152,0.8561,0.0000,0.8712,0.1203
20,0.8619,0.0000,0.8760,0.1148,0.8563,0.0000,0.8713,0.1200
21,0.8627,0.0000,0.8767,0.1143,0.8569,0.0000,0.8719,0.1196
22,0.8634,0.0000,0.8774,0.1138,0.8572,0.0000,0.8718,0.1194
23,0.8632,0.0000,0.8768,0.1137,0.8582,0.0000,0.8728,0.1187
24,0.8641,0.0000,0.8776,0.1130,0.8579,0.0000,0.8724,0.1186
25,0.8646,0.0000,0.8781,0.1126,0.8589,0.0000,0.8733,0.1179
26,0.8655,0.0000,0.8787,0.1118,0.8586,0.0000,0.8723,0.1176
27,0.8672,0.0000,0.8795,0.1102,0.8613,0.0000,0.8745,0.1156
28,0.8686,0.0000,0.8809,0.1091,0.8643,0.0000,0.8776,0.1132
29,0.8697,0.0000,0.8820,0.1081,0.8648,0.0000,0.8779,0.1128
30,0.8709,0.0000,0.8831,0.1072,0.8661,0.0000,0.8792,0.1120
31,0.8714,0.0000,0.8835,0.1067,0.8655,0.0000,0.8784,0.1121
32,0.8719,0.0000,0.8840,0.1064,0.8672,0.0000,0.8804,0.1108
33,0.8727,0.0000,0.8847,0.1057,0.8671,0.0000,0.8802,0.1110
34,0.8735,0.0000,0.8855,0.1051,0.8679,0.0000,0.8809,0.1101
35,0.8737,0.0000,0.8856,0.1049,0.8671,0.0000,0.8802,0.1109
36,0.8734,0.0000,0.8855,0.1051,0.8679,0.0000,0.8808,0.1102
37,0.8749,0.0000,0.8869,0.1039,0.8691,0.0000,0.8821,0.1092
38,0.8755,0.0000,0.8874,0.1034,0.8696,0.0000,0.8826,0.1088
39,0.8761,0.0000,0.8880,0.1029,0.8698,0.0000,0.8826,0.1087
40,0.8765,0.0000,0.8885,0.1027,0.8712,0.0000,0.8843,0.1076
41,0.8771,0.0000,0.8892,0.1023,0.8707,0.0000,0.8839,0.1084
42,0.8769,0.0000,0.8890,0.1023,0.8701,0.0000,0.8831,0.1084
43,0.8773,0.0000,0.8893,0.1021,0.8713,0.0000,0.8843,0.1076
44,0.8774,0.0000,0.8894,0.1019,0.8716,0.0000,0.8847,0.1072
45,0.8781,0.0000,0.8900,0.1014,0.8719,0.0000,0.8848,0.1071
46,0.8786,0.0000,0.8904,0.1009,0.8725,0.0000,0.8855,0.1066
47,0.8791,0.0000,0.8910,0.1005,0.8727,0.0000,0.8857,0.1063
48,0.8795,0.0000,0.8914,0.1001,0.8724,0.0000,0.8854,0.1065
49,0.8793,0.0000,0.8912,0.1003,0.8725,0.0000,0.8854,0.1066
