epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7625,0.0000,0.7853,0.1791,0.7939,0.0000,0.8167,0.1635
1,0.8543,0.0000,0.8698,0.1045,0.8699,0.0000,0.8851,0.0954
2,0.8846,0.0000,0.8969,0.0845,0.8893,0.0000,0.9019,0.0820
3,0.9065,0.0000,0.9167,0.0702,0.9087,0.0000,0.9185,0.0685
4,0.9187,0.0000,0.9272,0.0617,0.9156,0.0000,0.9250,0.0641
5,0.9262,0.0000,0.9343,0.0565,0.9229,0.0000,0.9315,0.0583
6,0.9383,0.0000,0.9452,0.0467,0.9327,0.0000,0.9405,0.0496
7,0.9502,0.0000,0.9557,0.0372,0.9454,0.0000,0.9516,0.0396
8,0.9596,0.0000,0.9641,0.0298,0.9482,0.0000,0.9541,0.0372
9,0.9647,0.0000,0.9686,0.0262,0.9521,0.0000,0.9576,0.0345
10,0.9675,0.0000,0.9711,0.0240,0.9534,0.0000,0.9587,0.0334
11,0.9702,0.0000,0.9735,0.0222,0.9566,0.0000,0.9615,0.0313
12,0.9733,0.0000,0.9763,0.0199,0.9600,0.0000,0.9645,0.0293
13,0.9756,0.0000,0.9783,0.0183,0.9584,0.0000,0.9632,0.0298
14,0.9768,0.0000,0.9794,0.0175,0.9581,0.0000,0.9629,0.0305
15,0.9779,0.0000,0.9804,0.0167,0.9578,0.0000,0.9625,0.0300
16,0.9791,0.0000,0.9814,0.0159,0.9609,0.0000,0.9652,0.0285
17,0.9804,0.0000,0.9826,0.0149,0.9615,0.0000,0.9658,0.0280
18,0.9809,0.0000,0.9830,0.0145,0.9586,0.0000,0.9632,0.0304
19,0.9815,0.0000,0.9836,0.0142,0.9625,0.0000,0.9668,0.0277
20,0.9825,0.0000,0.9845,0.0135,0.9615,0.0000,0.9659,0.0283
21,0.9832,0.0000,0.9850,0.0130,0.9608,0.0000,0.9653,0.0287
22,0.9835,0.0000,0.9853,0.0128,0.9623,0.0000,0.9666,0.0283
23,0.9837,0.0000,0.9855,0.0127,0.9630,0.0000,0.9671,0.0275
24,0.9838,0.0000,0.9856,0.0126,0.9633,0.0000,0.9674,0.0274
25,0.9844,0.0000,0.9861,0.0122,0.9624,0.0000,0.9667,0.0280
26,0.9849,0.0000,0.9866,0.0119,0.9628,0.0000,0.9670,0.0278
27,0.9852,0.0000,0.9868,0.0117,0.9619,0.0000,0.9662,0.0281
28,0.9855,0.0000,0.9871,0.0115,0.9620,0.0000,0.9662,0.0283
29,0.9849,0.0000,0.9865,0.0118,0.9611,0.0000,0.9655,0.0289
30,0.9852,0.0000,0.9869,0.0116,0.9612,0.0000,0.9656,0.0290
31,0.9856,0.0000,0.9872,0.0113,0.9630,0.0000,0.9672,0.0280
32,0.9854,0.0000,0.9870,0.0114,0.9618,0.0000,0.9661,0.0286
33,0.9859,0.0000,0.9875,0.0111,0.9616,0.0000,0.9659,0.0291
34,0.9856,0.0000,0.9872,0.0112,0.9627,0.0000,0.9670,0.0282
35,0.9859,0.0000,0.9875,0.0110,0.9629,0.0000,0.9671,0.0280
36,0.9863,0.0000,0.9878,0.0108,0.9635,0.0000,0.9677,0.0275
37,0.9864,0.0000,0.9879,0.0107,0.9623,0.0000,0.9665,0.0287
38,0.9864,0.0000,0.9879,0.0107,0.9631,0.0000,0.9673,0.0279
39,0.9868,0.0000,0.9882,0.0104,0.9623,0.0000,0.9666,0.0283
40,0.9871,0.0000,0.9885,0.0101,0.9630,0.0000,0.9672,0.0282
41,0.9872,0.0000,0.9886,0.0101,0.9633,0.0000,0.9674,0.0279
42,0.9871,0.0000,0.9885,0.0102,0.9631,0.0000,0.9673,0.0281
43,0.9877,0.0000,0.9890,0.0098,0.9630,0.0000,0.9672,0.0280
44,0.9877,0.0000,0.9891,0.0098,0.9630,0.0000,0.9672,0.0281
45,0.9879,0.0000,0.9892,0.0096,0.9628,0.0000,0.9670,0.0282
46,0.9880,0.0000,0.9893,0.0096,0.9630,0.0000,0.9672,0.0281
47,0.9879,0.0000,0.9893,0.0096,0.9640,0.0000,0.9681,0.0277
48,0.9880,0.0000,0.9893,0.0096,0.9628,0.0000,0.9670,0.0281
49,0.9883,0.0000,0.9896,0.0094,0.9617,0.0000,0.9660,0.0290
