epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6703,0.0000,0.7077,0.1795,0.6800,0.0000,0.7641,0.1728
1,0.7387,0.0000,0.7787,0.1491,0.7436,0.0000,0.7714,0.1468
2,0.7557,0.0000,0.7906,0.1410,0.7475,0.0000,0.7944,0.1456
3,0.7656,0.0000,0.7958,0.1375,0.7660,0.0000,0.7911,0.1399
4,0.7689,0.0000,0.7991,0.1355,0.7663,0.0000,0.8038,0.1381
5,0.7715,0.0000,0.8005,0.1344,0.7649,0.0000,0.8016,0.1367
6,0.7724,0.0000,0.8018,0.1336,0.7617,0.0000,0.8069,0.1419
7,0.7769,0.0000,0.8051,0.1315,0.7692,0.0000,0.8115,0.1369
8,0.7753,0.0000,0.8049,0.1325,0.7779,0.0000,0.8115,0.1338
9,0.7789,0.0000,0.8073,0.1312,0.7712,0.0000,0.8119,0.1370
10,0.7798,0.0000,0.8087,0.1307,0.7807,0.0000,0.8108,0.1317
11,0.7832,0.0000,0.8115,0.1298,0.7802,0.0000,0.8073,0.1327
12,0.7830,0.0000,0.8114,0.1292,0.7805,0.0000,0.8067,0.1313
13,0.7831,0.0000,0.8109,0.1296,0.7587,0.0000,0.8061,0.1403
14,0.7811,0.0000,0.8094,0.1306,0.7815,0.0000,0.8117,0.1310
15,0.7838,0.0000,0.8119,0.1294,0.7763,0.0000,0.8131,0.1321
16,0.7842,0.0000,0.8118,0.1284,0.7797,0.0000,0.8122,0.1306
17,0.7844,0.0000,0.8120,0.1285,0.7813,0.0000,0.8118,0.1300
18,0.7873,0.0000,0.8139,0.1276,0.7783,0.0000,0.8155,0.1343
19,0.7873,0.0000,0.8146,0.1278,0.7833,0.0000,0.8075,0.1294
20,0.7859,0.0000,0.8130,0.1282,0.7860,0.0000,0.8174,0.1298
21,0.7888,0.0000,0.8155,0.1271,0.7816,0.0000,0.8068,0.1299
22,0.7871,0.0000,0.8139,0.1277,0.7855,0.0000,0.8173,0.1295
23,0.7866,0.0000,0.8133,0.1277,0.7867,0.0000,0.8173,0.1293
24,0.7883,0.0000,0.8152,0.1267,0.7866,0.0000,0.8183,0.1297
25,0.7890,0.0000,0.8154,0.1266,0.7827,0.0000,0.8153,0.1297
26,0.7860,0.0000,0.8129,0.1281,0.7807,0.0000,0.8170,0.1327
27,0.7883,0.0000,0.8151,0.1272,0.7844,0.0000,0.8097,0.1295
28,0.7892,0.0000,0.8151,0.1269,0.7868,0.0000,0.8154,0.1285
29,0.7880,0.0000,0.8151,0.1271,0.7837,0.0000,0.8080,0.1294
30,0.7887,0.0000,0.8150,0.1263,0.7888,0.0000,0.8207,0.1288
31,0.7911,0.0000,0.8177,0.1262,0.7831,0.0000,0.8096,0.1284
32,0.7886,0.0000,0.8146,0.1266,0.7888,0.0000,0.8237,0.1312
33,0.7896,0.0000,0.8164,0.1270,0.7895,0.0000,0.8169,0.1281
34,0.7892,0.0000,0.8151,0.1270,0.7846,0.0000,0.8180,0.1304
35,0.7913,0.0000,0.8177,0.1260,0.7869,0.0000,0.8188,0.1289
36,0.7930,0.0000,0.8190,0.1256,0.7873,0.0000,0.8202,0.1300
37,0.7923,0.0000,0.8182,0.1255,0.7892,0.0000,0.8159,0.1276
38,0.7927,0.0000,0.8188,0.1259,0.7878,0.0000,0.8198,0.1298
39,0.7907,0.0000,0.8169,0.1262,0.7849,0.0000,0.8071,0.1299
40,0.7918,0.0000,0.8180,0.1262,0.7839,0.0000,0.8069,0.1298
41,0.7910,0.0000,0.8174,0.1262,0.7889,0.0000,0.8195,0.1291
42,0.7914,0.0000,0.8174,0.1262,0.7896,0.0000,0.8202,0.1289
43,0.7905,0.0000,0.8166,0.1259,0.7905,0.0000,0.8181,0.1271
44,0.7922,0.0000,0.8182,0.1254,0.7888,0.0000,0.8127,0.1274
45,0.7933,0.0000,0.8191,0.1251,0.7908,0.0000,0.8159,0.1273
46,0.7932,0.0000,0.8192,0.1253,0.7927,0.0000,0.8227,0.1275
47,0.7943,0.0000,0.8205,0.1250,0.7907,0.0000,0.8230,0.1275
48,0.7928,0.0000,0.8193,0.1250,0.7899,0.0000,0.8120,0.1277
49,0.7929,0.0000,0.8186,0.1249,0.7921,0.0000,0.8238,0.1274
