epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7216,0.0000,0.7579,0.1559,0.7442,0.0000,0.7652,0.1461
1,0.7675,0.0000,0.7979,0.1355,0.7747,0.0000,0.8059,0.1339
2,0.7793,0.0000,0.8089,0.1297,0.7814,0.0000,0.8120,0.1286
3,0.7833,0.0000,0.8113,0.1272,0.7832,0.0000,0.8127,0.1274
4,0.7866,0.0000,0.8135,0.1252,0.7851,0.0000,0.8182,0.1274
5,0.7873,0.0000,0.8140,0.1246,0.7901,0.0000,0.8166,0.1250
6,0.7876,0.0000,0.8142,0.1245,0.7891,0.0000,0.8148,0.1247
7,0.7886,0.0000,0.8150,0.1236,0.7895,0.0000,0.8124,0.1247
8,0.7893,0.0000,0.8149,0.1236,0.7892,0.0000,0.8170,0.1237
9,0.7909,0.0000,0.8169,0.1222,0.7920,0.0000,0.8216,0.1234
10,0.7912,0.0000,0.8173,0.1218,0.7880,0.0000,0.8140,0.1232
11,0.7916,0.0000,0.8169,0.1218,0.7846,0.0000,0.8189,0.1260
12,0.7915,0.0000,0.8170,0.1216,0.7902,0.0000,0.8134,0.1230
13,0.7918,0.0000,0.8172,0.1212,0.7901,0.0000,0.8156,0.1225
14,0.7925,0.0000,0.8176,0.1212,0.7861,0.0000,0.8043,0.1256
15,0.7925,0.0000,0.8177,0.1210,0.7909,0.0000,0.8175,0.1219
16,0.7923,0.0000,0.8176,0.1208,0.7906,0.0000,0.8221,0.1227
17,0.7921,0.0000,0.8177,0.1212,0.7905,0.0000,0.8221,0.1226
18,0.7929,0.0000,0.8184,0.1207,0.7925,0.0000,0.8210,0.1217
19,0.7924,0.0000,0.8178,0.1208,0.7926,0.0000,0.8208,0.1217
20,0.7926,0.0000,0.8185,0.1205,0.7904,0.0000,0.8141,0.1228
21,0.7932,0.0000,0.8182,0.1208,0.7907,0.0000,0.8139,0.1216
22,0.7932,0.0000,0.8185,0.1200,0.7927,0.0000,0.8212,0.1214
23,0.7930,0.0000,0.8181,0.1200,0.7917,0.0000,0.8175,0.1209
24,0.7935,0.0000,0.8184,0.1201,0.7936,0.0000,0.8190,0.1207
25,0.7937,0.0000,0.8189,0.1201,0.7930,0.0000,0.8194,0.1215
26,0.7935,0.0000,0.8183,0.1200,0.7930,0.0000,0.8206,0.1209
27,0.7939,0.0000,0.8192,0.1198,0.7917,0.0000,0.8140,0.1219
28,0.7945,0.0000,0.8197,0.1197,0.7928,0.0000,0.8139,0.1212
29,0.7936,0.0000,0.8185,0.1196,0.7919,0.0000,0.8155,0.1210
30,0.7943,0.0000,0.8194,0.1198,0.7904,0.0000,0.8185,0.1210
31,0.7940,0.0000,0.8191,0.1194,0.7937,0.0000,0.8230,0.1208
32,0.7946,0.0000,0.8196,0.1194,0.7918,0.0000,0.8225,0.1215
33,0.7938,0.0000,0.8188,0.1192,0.7916,0.0000,0.8128,0.1216
34,0.7932,0.0000,0.8183,0.1194,0.7912,0.0000,0.8154,0.1210
35,0.7948,0.0000,0.8199,0.1192,0.7936,0.0000,0.8197,0.1211
36,0.7945,0.0000,0.8191,0.1195,0.7906,0.0000,0.8228,0.1222
37,0.7947,0.0000,0.8198,0.1194,0.7926,0.0000,0.8183,0.1212
38,0.7947,0.0000,0.8194,0.1194,0.7929,0.0000,0.8173,0.1208
39,0.7945,0.0000,0.8192,0.1194,0.7950,0.0000,0.8220,0.1207
40,0.7952,0.0000,0.8202,0.1190,0.7942,0.0000,0.8218,0.1209
41,0.7951,0.0000,0.8195,0.1190,0.7927,0.0000,0.8213,0.1211
42,0.7948,0.0000,0.8196,0.1190,0.7938,0.0000,0.8170,0.1203
43,0.7948,0.0000,0.8195,0.1191,0.7941,0.0000,0.8168,0.1203
44,0.7951,0.0000,0.8199,0.1190,0.7928,0.0000,0.8174,0.1215
45,0.7948,0.0000,0.8198,0.1190,0.7922,0.0000,0.8157,0.1212
46,0.7951,0.0000,0.8196,0.1189,0.7948,0.0000,0.8197,0.1202
47,0.7940,0.0000,0.8187,0.1188,0.7942,0.0000,0.8190,0.1204
48,0.7946,0.0000,0.8194,0.1190,0.7941,0.0000,0.8205,0.1211
49,0.7952,0.0000,0.8200,0.1188,0.7927,0.0000,0.8144,0.1209
