epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.8470,0.0000,0.8623,0.0954,0.9047,0.0000,0.9159,0.0595
1,0.9238,0.0000,0.9325,0.0500,0.9272,0.0000,0.9360,0.0488
2,0.9346,0.0000,0.9422,0.0436,0.9371,0.0000,0.9443,0.0430
3,0.9444,0.0000,0.9508,0.0379,0.9460,0.0000,0.9524,0.0385
4,0.9491,0.0000,0.9550,0.0354,0.9480,0.0000,0.9540,0.0370
5,0.9516,0.0000,0.9571,0.0335,0.9499,0.0000,0.9556,0.0356
6,0.9546,0.0000,0.9598,0.0327,0.9524,0.0000,0.9579,0.0343
7,0.9565,0.0000,0.9614,0.0316,0.9496,0.0000,0.9555,0.0363
8,0.9588,0.0000,0.9635,0.0306,0.9541,0.0000,0.9594,0.0347
9,0.9596,0.0000,0.9642,0.0302,0.9523,0.0000,0.9578,0.0346
10,0.9613,0.0000,0.9657,0.0291,0.9537,0.0000,0.9591,0.0350
11,0.9622,0.0000,0.9665,0.0290,0.9542,0.0000,0.9596,0.0348
12,0.9616,0.0000,0.9660,0.0295,0.9517,0.0000,0.9572,0.0367
13,0.9625,0.0000,0.9667,0.0290,0.9511,0.0000,0.9568,0.0370
14,0.9627,0.0000,0.9670,0.0290,0.9526,0.0000,0.9580,0.0365
15,0.9612,0.0000,0.9656,0.0298,0.9506,0.0000,0.9563,0.0385
16,0.9600,0.0000,0.9646,0.0310,0.9502,0.0000,0.9559,0.0391
17,0.9605,0.0000,0.9650,0.0308,0.9517,0.0000,0.9572,0.0379
18,0.9619,0.0000,0.9662,0.0300,0.9492,0.0000,0.9551,0.0403
19,0.9605,0.0000,0.9651,0.0311,0.9530,0.0000,0.9585,0.0382
20,0.9607,0.0000,0.9652,0.0314,0.9522,0.0000,0.9578,0.0388
21,0.9609,0.0000,0.9653,0.0315,0.9517,0.0000,0.9572,0.0382
22,0.9625,0.0000,0.9667,0.0302,0.9538,0.0000,0.9591,0.0372
23,0.9637,0.0000,0.9679,0.0293,0.9524,0.0026,0.9580,0.0384
24,0.9637,0.0082,0.9679,0.0295,0.9527,0.0000,0.9583,0.0387
25,0.9630,0.0048,0.9673,0.0298,0.9543,0.0307,0.9597,0.0373
26,0.9640,0.0475,0.9682,0.0291,0.9541,0.0312,0.9594,0.0376
27,0.9640,0.0122,0.9681,0.0291,0.9507,0.0078,0.9565,0.0400
28,0.9622,0.0242,0.9665,0.0305,0.9519,0.0395,0.9576,0.0388
29,0.9622,0.0438,0.9665,0.0305,0.9519,0.0208,0.9575,0.0386
30,0.9617,0.0280,0.9661,0.0307,0.9528,0.0339,0.9584,0.0386
31,0.9611,0.0283,0.9656,0.0314,0.9500,0.0349,0.9559,0.0410
32,0.9609,0.0224,0.9654,0.0319,0.9498,0.0369,0.9556,0.0408
33,0.9609,0.0410,0.9654,0.0320,0.9482,0.0770,0.9543,0.0418
34,0.9591,0.0635,0.9638,0.0335,0.9476,0.0822,0.9538,0.0444
35,0.9583,0.0599,0.9631,0.0347,0.9518,0.0541,0.9574,0.0407
36,0.9597,0.0567,0.9644,0.0333,0.9506,0.0453,0.9565,0.0421
