epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7475,0.0000,0.7721,0.1548,0.7982,0.0000,0.8207,0.1168
1,0.8073,0.0000,0.8279,0.1106,0.8148,0.0000,0.8396,0.1084
2,0.8190,0.0000,0.8416,0.1058,0.8248,0.0000,0.8472,0.1064
3,0.8281,0.0000,0.8500,0.1035,0.8333,0.0000,0.8545,0.1031
4,0.8368,0.0000,0.8579,0.1007,0.8379,0.0000,0.8592,0.1007
5,0.8415,0.0000,0.8624,0.0982,0.8396,0.0000,0.8610,0.1012
6,0.8455,0.0000,0.8655,0.0978,0.8481,0.0000,0.8690,0.0989
7,0.8480,0.0000,0.8672,0.0956,0.8536,0.0000,0.8734,0.0948
8,0.8528,0.0000,0.8711,0.0919,0.8508,0.0000,0.8697,0.0931
9,0.8567,0.0000,0.8742,0.0886,0.8541,0.0000,0.8726,0.0887
10,0.8616,0.0000,0.8788,0.0859,0.8635,0.0000,0.8812,0.0866
11,0.8606,0.0000,0.8781,0.0873,0.8554,0.0000,0.8744,0.0906
12,0.8609,0.0000,0.8783,0.0870,0.8592,0.0000,0.8761,0.0872
13,0.8648,0.0000,0.8818,0.0835,0.8598,0.0000,0.8780,0.0874
14,0.8648,0.0000,0.8815,0.0829,0.8582,0.0000,0.8762,0.0866
15,0.8658,0.0000,0.8826,0.0817,0.8634,0.0000,0.8812,0.0853
16,0.8679,0.0000,0.8842,0.0807,0.8617,0.0000,0.8800,0.0855
17,0.8675,0.0000,0.8838,0.0811,0.8588,0.0000,0.8770,0.0880
18,0.8610,0.0000,0.8779,0.0851,0.8559,0.0000,0.8722,0.0911
19,0.8517,0.0000,0.8695,0.0907,0.8621,0.0000,0.8803,0.0868
20,0.8642,0.0000,0.8812,0.0833,0.8621,0.0000,0.8792,0.0853
21,0.8644,0.0000,0.8810,0.0825,0.8614,0.0000,0.8794,0.0877
22,0.8652,0.0000,0.8820,0.0828,0.8626,0.0000,0.8799,0.0844
23,0.8665,0.0000,0.8831,0.0813,0.8660,0.0000,0.8832,0.0850
24,0.8665,0.0000,0.8826,0.0816,0.8662,0.0000,0.8838,0.0836
25,0.8706,0.0000,0.8867,0.0793,0.8690,0.0000,0.8850,0.0816
26,0.8709,0.0000,0.8868,0.0785,0.8684,0.0000,0.8852,0.0815
27,0.8733,0.0000,0.8888,0.0774,0.8515,0.0000,0.8690,0.0918
28,0.8582,0.0000,0.8754,0.0869,0.8592,0.0000,0.8770,0.0869
29,0.8651,0.0000,0.8817,0.0815,0.8684,0.0000,0.8845,0.0810
30,0.8648,0.0000,0.8815,0.0819,0.8578,0.0000,0.8759,0.0889
31,0.8618,0.0000,0.8786,0.0841,0.8625,0.0000,0.8800,0.0857
32,0.8701,0.0000,0.8861,0.0786,0.8689,0.0000,0.8847,0.0831
33,0.8736,0.0000,0.8892,0.0774,0.8635,0.0000,0.8809,0.0862
34,0.8727,0.0000,0.8884,0.0777,0.8687,0.0000,0.8857,0.0822
35,0.8735,0.0000,0.8891,0.0775,0.8677,0.0000,0.8846,0.0835
36,0.8722,0.0000,0.8879,0.0784,0.8651,0.0000,0.8823,0.0858
37,0.8739,0.0000,0.8897,0.0783,0.8715,0.0000,0.8878,0.0817
38,0.8755,0.0000,0.8907,0.0769,0.8727,0.0000,0.8888,0.0818
39,0.8782,0.0000,0.8929,0.0758,0.8739,0.0000,0.8900,0.0818
40,0.8795,0.0000,0.8943,0.0748,0.8743,0.0000,0.8904,0.0803
41,0.8801,0.0000,0.8948,0.0749,0.8718,0.0000,0.8876,0.0806
42,0.8780,0.0000,0.8929,0.0760,0.8734,0.0000,0.8889,0.0805
43,0.8731,0.0000,0.8886,0.0775,0.8664,0.0000,0.8836,0.0840
44,0.8712,0.0000,0.8872,0.0791,0.8626,0.0000,0.8803,0.0855
45,0.8666,0.0000,0.8825,0.0827,0.8644,0.0000,0.8815,0.0860
46,0.8757,0.0000,0.8909,0.0776,0.8638,0.0000,0.8807,0.0842
47,0.8737,0.0000,0.8891,0.0774,0.8659,0.0000,0.8828,0.0839
48,0.8734,0.0000,0.8889,0.0779,0.8706,0.0000,0.8870,0.0807
49,0.8788,0.0000,0.8938,0.0755,0.8698,0.0000,0.8855,0.0813
