epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7126,0.0000,0.7704,0.1808,0.6434,0.0000,0.6436,0.2291
1,0.8101,0.0000,0.8412,0.1252,0.7814,0.0000,0.8155,0.1372
2,0.8362,0.0000,0.8611,0.1078,0.8116,0.0000,0.8366,0.1215
3,0.8542,0.0000,0.8765,0.0969,0.8400,0.0000,0.8669,0.1034
4,0.8690,0.0000,0.8881,0.0880,0.8406,0.0000,0.8659,0.1035
5,0.8681,0.0000,0.8871,0.0877,0.8487,0.0000,0.8720,0.0989
6,0.8867,0.0000,0.9028,0.0767,0.8647,0.0000,0.8875,0.0889
7,0.8932,0.0000,0.9082,0.0720,0.8729,0.0000,0.8880,0.0847
8,0.9041,0.0000,0.9172,0.0653,0.8888,0.0000,0.9031,0.0741
9,0.9060,0.0000,0.9191,0.0630,0.8850,0.0000,0.9017,0.0770
10,0.9098,0.0000,0.9221,0.0610,0.8899,0.0000,0.9053,0.0734
11,0.9054,0.0000,0.9183,0.0638,0.8800,0.0000,0.8974,0.0783
12,0.9148,0.0000,0.9265,0.0572,0.8993,0.0000,0.9136,0.0660
13,0.9233,0.0000,0.9338,0.0524,0.8997,0.0000,0.9128,0.0656
14,0.9186,0.0000,0.9296,0.0552,0.9019,0.0000,0.9151,0.0652
15,0.9251,0.0000,0.9347,0.0509,0.9041,0.0000,0.9172,0.0630
16,0.9290,0.0000,0.9385,0.0483,0.9106,0.0000,0.9227,0.0593
17,0.9318,0.0000,0.9406,0.0458,0.8924,0.0000,0.9072,0.0690
18,0.9015,0.0000,0.9150,0.0652,0.8955,0.0000,0.9102,0.0692
19,0.9230,0.0000,0.9332,0.0517,0.9056,0.0000,0.9188,0.0610
20,0.9257,0.0000,0.9355,0.0496,0.9070,0.0000,0.9187,0.0601
21,0.9314,0.0000,0.9403,0.0469,0.9140,0.0000,0.9252,0.0570
22,0.9373,0.0000,0.9454,0.0431,0.9037,0.0000,0.9179,0.0623
23,0.9286,0.0000,0.9378,0.0488,0.9022,0.0000,0.9140,0.0656
24,0.9298,0.0000,0.9391,0.0475,0.9148,0.0000,0.9257,0.0565
25,0.9439,0.0000,0.9512,0.0387,0.9204,0.0000,0.9303,0.0530
26,0.9491,0.0000,0.9557,0.0354,0.9250,0.0000,0.9349,0.0507
27,0.9498,0.0000,0.9561,0.0354,0.9230,0.0000,0.9338,0.0508
28,0.9491,0.0000,0.9556,0.0352,0.9276,0.0000,0.9369,0.0489
29,0.9551,0.0000,0.9609,0.0318,0.9227,0.0000,0.9316,0.0516
30,0.9457,0.0000,0.9526,0.0377,0.9094,0.0000,0.9209,0.0614
31,0.9206,0.0000,0.9309,0.0540,0.8857,0.0000,0.8987,0.0762
32,0.9344,0.0000,0.9431,0.0442,0.9184,0.0000,0.9286,0.0531
33,0.9443,0.0000,0.9515,0.0383,0.9241,0.0000,0.9343,0.0505
34,0.9474,0.0000,0.9542,0.0364,0.9244,0.0000,0.9333,0.0509
35,0.9493,0.0000,0.9558,0.0353,0.9261,0.0000,0.9357,0.0496
36,0.9448,0.0000,0.9519,0.0375,0.9217,0.0000,0.9321,0.0521
37,0.9462,0.0000,0.9532,0.0363,0.9235,0.0000,0.9326,0.0513
38,0.9249,0.0000,0.9349,0.0504,0.9032,0.0000,0.9166,0.0637
39,0.9443,0.0000,0.9515,0.0378,0.9278,0.0000,0.9371,0.0479
40,0.9495,0.0000,0.9562,0.0343,0.9101,0.0000,0.9205,0.0599
41,0.9218,0.0000,0.9318,0.0515,0.9058,0.0000,0.9165,0.0624
42,0.9356,0.0000,0.9438,0.0435,0.9212,0.0000,0.9319,0.0517
43,0.9498,0.0000,0.9562,0.0345,0.9315,0.0000,0.9405,0.0461
44,0.9544,0.0000,0.9602,0.0316,0.9318,0.0000,0.9405,0.0459
45,0.9432,0.0000,0.9491,0.0379,0.9264,0.0000,0.9350,0.0489
46,0.9495,0.0000,0.9559,0.0345,0.9260,0.0000,0.9353,0.0499
47,0.9559,0.0000,0.9615,0.0306,0.9348,0.0000,0.9430,0.0444
48,0.9596,0.0000,0.9648,0.0285,0.9386,0.0000,0.9463,0.0421
49,0.9571,0.0000,0.9624,0.0306,0.9342,0.0000,0.9425,0.0449
