epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6600,0.0000,0.6662,0.2005,0.6475,0.0000,0.7499,0.2409
1,0.7447,0.0000,0.7782,0.1562,0.7357,0.0000,0.7860,0.1606
2,0.7695,0.0000,0.8010,0.1436,0.7497,0.0000,0.7811,0.1519
3,0.7833,0.0000,0.8145,0.1374,0.7559,0.0000,0.7854,0.1477
4,0.7867,0.0000,0.8171,0.1342,0.7622,0.0000,0.8053,0.1455
5,0.7947,0.0000,0.8245,0.1300,0.7698,0.0000,0.7915,0.1465
6,0.7997,0.0000,0.8280,0.1284,0.6991,0.0000,0.7042,0.1922
7,0.7909,0.0000,0.8219,0.1324,0.7752,0.0000,0.8144,0.1409
8,0.8038,0.0000,0.8328,0.1269,0.7741,0.0000,0.8073,0.1411
9,0.8026,0.0000,0.8329,0.1274,0.7290,0.0000,0.7978,0.1598
10,0.8077,0.0000,0.8371,0.1235,0.7469,0.0000,0.7550,0.1583
11,0.8090,0.0000,0.8383,0.1234,0.7874,0.0000,0.8271,0.1353
12,0.8139,0.0000,0.8418,0.1211,0.7899,0.0000,0.8277,0.1326
13,0.8125,0.0000,0.8408,0.1219,0.7836,0.0000,0.8189,0.1373
14,0.8112,0.0000,0.8398,0.1231,0.7833,0.0000,0.8089,0.1357
15,0.8108,0.0000,0.8401,0.1224,0.7873,0.0000,0.8279,0.1341
16,0.8115,0.0000,0.8410,0.1224,0.7912,0.0000,0.8178,0.1328
17,0.8212,0.0000,0.8487,0.1168,0.7921,0.0000,0.8291,0.1319
18,0.8071,0.0000,0.8388,0.1209,0.7869,0.0000,0.8297,0.1390
19,0.8041,0.0000,0.8337,0.1251,0.7583,0.0000,0.8158,0.1484
20,0.8143,0.0000,0.8422,0.1199,0.7918,0.0000,0.8316,0.1323
21,0.8206,0.0000,0.8485,0.1177,0.7901,0.0000,0.8176,0.1333
22,0.8156,0.0000,0.8437,0.1201,0.7858,0.0000,0.8299,0.1337
23,0.8109,0.0000,0.8412,0.1206,0.7972,0.0000,0.8264,0.1280
24,0.8168,0.0000,0.8445,0.1185,0.7992,0.0000,0.8268,0.1286
25,0.8236,0.0000,0.8501,0.1150,0.8024,0.0000,0.8363,0.1264
26,0.8207,0.0000,0.8483,0.1171,0.7924,0.0000,0.8152,0.1324
27,0.8152,0.0000,0.8442,0.1200,0.7954,0.0000,0.8184,0.1287
28,0.8130,0.0000,0.8407,0.1207,0.8023,0.0000,0.8344,0.1262
29,0.8212,0.0000,0.8480,0.1167,0.7959,0.0000,0.8328,0.1289
30,0.8204,0.0000,0.8480,0.1165,0.8030,0.0000,0.8294,0.1259
31,0.8218,0.0000,0.8499,0.1161,0.8025,0.0000,0.8308,0.1245
32,0.8239,0.0000,0.8506,0.1151,0.8056,0.0000,0.8348,0.1247
33,0.8269,0.0000,0.8536,0.1139,0.8065,0.0000,0.8393,0.1247
34,0.8243,0.0000,0.8509,0.1153,0.8048,0.0000,0.8386,0.1256
35,0.8200,0.0000,0.8475,0.1164,0.7941,0.0000,0.8353,0.1309
36,0.8281,0.0000,0.8543,0.1132,0.8003,0.0000,0.8270,0.1268
37,0.8268,0.0000,0.8535,0.1133,0.8026,0.0000,0.8281,0.1246
38,0.8218,0.0000,0.8497,0.1154,0.8089,0.0000,0.8375,0.1226
39,0.8246,0.0000,0.8505,0.1152,0.8058,0.0000,0.8318,0.1241
40,0.8177,0.0000,0.8466,0.1168,0.8015,0.0000,0.8247,0.1259
41,0.8209,0.0000,0.8488,0.1166,0.8036,0.0000,0.8309,0.1243
42,0.8221,0.0000,0.8492,0.1159,0.8060,0.0000,0.8349,0.1233
43,0.8140,0.0000,0.8389,0.1221,0.8002,0.0000,0.8352,0.1341
44,0.8197,0.0000,0.8463,0.1172,0.8042,0.0000,0.8317,0.1235
45,0.8196,0.0000,0.8473,0.1170,0.8067,0.0000,0.8336,0.1232
46,0.8245,0.0000,0.8509,0.1145,0.8074,0.0000,0.8352,0.1231
47,0.8192,0.0000,0.8471,0.1172,0.8060,0.0000,0.8303,0.1251
48,0.8188,0.0000,0.8468,0.1180,0.7932,0.0000,0.8211,0.1307
49,0.8240,0.0000,0.8504,0.1156,0.8095,0.0000,0.8404,0.1211
