epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7351,0.0000,0.7643,0.2132,0.7760,0.0000,0.8022,0.1879
1,0.8284,0.0000,0.8502,0.1267,0.8344,0.0000,0.8547,0.1228
2,0.8757,0.0000,0.8919,0.0866,0.8661,0.0000,0.8836,0.0964
3,0.9008,0.0000,0.9136,0.0671,0.8916,0.0000,0.9061,0.0732
4,0.9219,0.0000,0.9319,0.0531,0.9070,0.0000,0.9186,0.0608
5,0.9302,0.0000,0.9392,0.0479,0.9076,0.0000,0.9193,0.0648
6,0.9302,0.0000,0.9390,0.0490,0.9048,0.0000,0.9167,0.0674
7,0.9326,0.0000,0.9411,0.0475,0.9148,0.0000,0.9253,0.0580
8,0.9445,0.0000,0.9515,0.0398,0.9225,0.0000,0.9318,0.0532
9,0.9498,0.0000,0.9562,0.0365,0.9285,0.0000,0.9372,0.0500
10,0.9504,0.0000,0.9568,0.0357,0.9275,0.0000,0.9367,0.0509
11,0.9505,0.0000,0.9568,0.0363,0.9286,0.0000,0.9372,0.0504
12,0.9508,0.0000,0.9571,0.0357,0.9308,0.0000,0.9393,0.0491
13,0.9554,0.0000,0.9610,0.0329,0.9309,0.0000,0.9394,0.0497
14,0.9507,0.0000,0.9569,0.0356,0.9303,0.0000,0.9392,0.0502
15,0.9585,0.0000,0.9638,0.0307,0.9328,0.0000,0.9411,0.0485
16,0.9639,0.0000,0.9685,0.0275,0.9366,0.0000,0.9444,0.0459
17,0.9644,0.0000,0.9689,0.0270,0.9362,0.0000,0.9440,0.0467
18,0.9655,0.0000,0.9698,0.0266,0.9355,0.0000,0.9435,0.0475
19,0.9672,0.0000,0.9713,0.0253,0.9370,0.0000,0.9447,0.0467
20,0.9687,0.0000,0.9723,0.0261,0.9255,0.0000,0.9349,0.0546
21,0.9492,0.0000,0.9556,0.0368,0.9238,0.0000,0.9331,0.0563
22,0.9571,0.0000,0.9624,0.0324,0.9332,0.0000,0.9415,0.0498
23,0.9545,0.0000,0.9603,0.0339,0.9332,0.0000,0.9415,0.0497
24,0.9613,0.0000,0.9661,0.0290,0.9379,0.0000,0.9455,0.0465
25,0.9672,0.0000,0.9713,0.0264,0.9338,0.0000,0.9417,0.0484
26,0.9629,0.0000,0.9676,0.0274,0.9344,0.0000,0.9422,0.0479
27,0.9607,0.0000,0.9655,0.0290,0.9378,0.0000,0.9452,0.0472
28,0.9649,0.0000,0.9693,0.0268,0.9386,0.0000,0.9461,0.0465
29,0.9684,0.0000,0.9723,0.0244,0.9404,0.0000,0.9478,0.0452
30,0.9711,0.0000,0.9747,0.0230,0.9408,0.0000,0.9481,0.0440
31,0.9701,0.0000,0.9738,0.0233,0.9395,0.0000,0.9468,0.0452
32,0.9701,0.0000,0.9737,0.0233,0.9410,0.0000,0.9482,0.0450
33,0.9612,0.0000,0.9659,0.0288,0.9382,0.0000,0.9457,0.0468
34,0.9589,0.0000,0.9643,0.0308,0.9366,0.0000,0.9442,0.0474
35,0.9639,0.0000,0.9683,0.0272,0.9387,0.0000,0.9462,0.0466
36,0.9693,0.0000,0.9730,0.0239,0.9409,0.0000,0.9481,0.0446
37,0.9720,0.0000,0.9754,0.0218,0.9429,0.0000,0.9499,0.0433
38,0.9738,0.0000,0.9770,0.0213,0.9423,0.0000,0.9492,0.0439
39,0.9713,0.0000,0.9749,0.0228,0.9395,0.0000,0.9469,0.0460
40,0.9709,0.0000,0.9741,0.0228,0.9416,0.0000,0.9486,0.0444
41,0.9708,0.0000,0.9744,0.0227,0.9412,0.0000,0.9484,0.0446
42,0.9728,0.0000,0.9763,0.0213,0.9409,0.0000,0.9481,0.0448
43,0.9728,0.0000,0.9765,0.0213,0.9400,0.0000,0.9473,0.0463
44,0.9703,0.0000,0.9739,0.0231,0.9411,0.0000,0.9482,0.0450
45,0.9753,0.0000,0.9784,0.0198,0.9422,0.0000,0.9493,0.0446
46,0.9763,0.0000,0.9791,0.0194,0.9422,0.0000,0.9493,0.0446
47,0.9739,0.0000,0.9771,0.0204,0.9418,0.0000,0.9489,0.0450
48,0.9777,0.0000,0.9804,0.0181,0.9433,0.0000,0.9502,0.0441
49,0.9794,0.0000,0.9819,0.0170,0.9436,0.0000,0.9505,0.0437
