epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7343,0.0000,0.7689,0.2585,0.7406,0.0000,0.7739,0.2630
1,0.7895,0.0000,0.8165,0.1917,0.7885,0.0000,0.8149,0.1778
2,0.8510,0.0000,0.8696,0.1001,0.8788,0.0000,0.8934,0.0877
3,0.9137,0.0000,0.9242,0.0610,0.9085,0.0000,0.9196,0.0647
4,0.9366,0.0000,0.9444,0.0455,0.9214,0.0000,0.9313,0.0584
5,0.9495,0.0000,0.9557,0.0374,0.9321,0.0000,0.9404,0.0505
6,0.9604,0.0000,0.9653,0.0305,0.9368,0.0000,0.9446,0.0471
7,0.9673,0.0000,0.9713,0.0258,0.9389,0.0000,0.9464,0.0473
8,0.9729,0.0000,0.9762,0.0219,0.9414,0.0000,0.9484,0.0449
9,0.9751,0.0000,0.9781,0.0204,0.9424,0.0000,0.9494,0.0449
10,0.9753,0.0000,0.9784,0.0200,0.9431,0.0000,0.9500,0.0453
11,0.9778,0.0000,0.9805,0.0183,0.9433,0.0000,0.9501,0.0454
12,0.9763,0.0000,0.9792,0.0195,0.9421,0.0000,0.9492,0.0467
13,0.9739,0.0000,0.9771,0.0206,0.9412,0.0000,0.9483,0.0474
14,0.9777,0.0000,0.9804,0.0183,0.9411,0.0000,0.9483,0.0474
15,0.9767,0.0000,0.9795,0.0188,0.9422,0.0000,0.9493,0.0471
16,0.9790,0.0000,0.9814,0.0179,0.9446,0.0000,0.9513,0.0452
17,0.9822,0.0000,0.9844,0.0151,0.9457,0.0000,0.9522,0.0440
18,0.9824,0.0000,0.9845,0.0150,0.9444,0.0000,0.9511,0.0459
19,0.9840,0.0000,0.9860,0.0139,0.9469,0.0000,0.9533,0.0436
20,0.9848,0.0000,0.9866,0.0131,0.9467,0.0000,0.9531,0.0440
21,0.9845,0.0000,0.9861,0.0135,0.9465,0.0000,0.9529,0.0444
22,0.9849,0.0000,0.9867,0.0131,0.9469,0.0000,0.9533,0.0443
23,0.9852,0.0000,0.9870,0.0127,0.9460,0.0000,0.9524,0.0452
24,0.9849,0.0000,0.9867,0.0130,0.9468,0.0000,0.9532,0.0443
25,0.9863,0.0000,0.9879,0.0120,0.9471,0.0000,0.9534,0.0442
26,0.9862,0.0000,0.9879,0.0122,0.9468,0.0000,0.9531,0.0446
27,0.9864,0.0000,0.9880,0.0120,0.9465,0.0000,0.9529,0.0447
28,0.9859,0.0000,0.9875,0.0125,0.9461,0.0000,0.9525,0.0453
29,0.9820,0.0000,0.9839,0.0152,0.9457,0.0000,0.9522,0.0457
30,0.9825,0.0000,0.9845,0.0146,0.9450,0.0000,0.9516,0.0461
31,0.9807,0.0000,0.9830,0.0160,0.9447,0.0000,0.9513,0.0455
32,0.9803,0.0000,0.9824,0.0163,0.9421,0.0000,0.9490,0.0476
33,0.9791,0.0000,0.9816,0.0169,0.9435,0.0000,0.9503,0.0464
34,0.9811,0.0000,0.9834,0.0157,0.9432,0.0000,0.9500,0.0468
35,0.9837,0.0000,0.9857,0.0137,0.9470,0.0000,0.9534,0.0446
36,0.9853,0.0000,0.9871,0.0128,0.9472,0.0000,0.9535,0.0445
37,0.9852,0.0000,0.9869,0.0133,0.9465,0.0000,0.9529,0.0449
38,0.9835,0.0000,0.9854,0.0140,0.9460,0.0000,0.9524,0.0456
39,0.9848,0.0000,0.9866,0.0135,0.9456,0.0000,0.9521,0.0458
40,0.9856,0.0000,0.9873,0.0125,0.9462,0.0000,0.9526,0.0457
41,0.9846,0.0000,0.9864,0.0131,0.9439,0.0000,0.9506,0.0472
42,0.9853,0.0000,0.9871,0.0126,0.9453,0.0000,0.9519,0.0461
43,0.9850,0.0000,0.9868,0.0129,0.9442,0.0000,0.9508,0.0475
44,0.9776,0.0000,0.9802,0.0186,0.9420,0.0000,0.9488,0.0487
45,0.9782,0.0000,0.9808,0.0178,0.9434,0.0000,0.9501,0.0483
46,0.9797,0.0000,0.9821,0.0171,0.9441,0.0000,0.9507,0.0477
47,0.9830,0.0000,0.9851,0.0146,0.9447,0.0000,0.9514,0.0469
48,0.9816,0.0000,0.9836,0.0158,0.9452,0.0000,0.9518,0.0465
49,0.9844,0.0000,0.9863,0.0135,0.9462,0.0000,0.9526,0.0464
