epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7260,0.0000,0.7682,0.1634,0.7164,0.0000,0.7293,0.1642
1,0.7808,0.0000,0.8137,0.1377,0.7720,0.0000,0.8124,0.1394
2,0.8029,0.0000,0.8311,0.1254,0.7889,0.0000,0.8253,0.1316
3,0.8201,0.0000,0.8439,0.1147,0.7967,0.0000,0.8342,0.1307
4,0.8284,0.0000,0.8515,0.1123,0.8067,0.0000,0.8293,0.1233
5,0.8276,0.0000,0.8523,0.1122,0.8212,0.0000,0.8461,0.1156
6,0.8355,0.0000,0.8578,0.1067,0.8168,0.0000,0.8335,0.1171
7,0.8382,0.0000,0.8592,0.1052,0.8308,0.0000,0.8540,0.1074
8,0.8476,0.0000,0.8679,0.0993,0.8291,0.0000,0.8587,0.1096
9,0.8584,0.0000,0.8775,0.0939,0.8409,0.0000,0.8635,0.1025
10,0.8571,0.0000,0.8761,0.0944,0.8364,0.0000,0.8572,0.1051
11,0.8493,0.0000,0.8696,0.1002,0.8279,0.0000,0.8583,0.1106
12,0.8565,0.0000,0.8756,0.0944,0.8418,0.0000,0.8645,0.1005
13,0.8608,0.0000,0.8795,0.0921,0.8480,0.0000,0.8712,0.0997
14,0.8590,0.0000,0.8778,0.0934,0.8426,0.0000,0.8637,0.1009
15,0.8588,0.0000,0.8778,0.0931,0.8456,0.0000,0.8642,0.0996
16,0.8659,0.0000,0.8837,0.0890,0.8469,0.0000,0.8719,0.0991
17,0.8717,0.0000,0.8889,0.0860,0.8535,0.0000,0.8748,0.0961
18,0.8672,0.0000,0.8852,0.0882,0.8480,0.0000,0.8732,0.0997
19,0.8682,0.0000,0.8857,0.0888,0.8501,0.0000,0.8693,0.0974
20,0.8704,0.0000,0.8875,0.0866,0.8552,0.0000,0.8763,0.0956
21,0.8740,0.0000,0.8905,0.0854,0.8561,0.0000,0.8758,0.0936
22,0.8748,0.0000,0.8912,0.0838,0.8544,0.0000,0.8730,0.0949
23,0.8680,0.0000,0.8836,0.0878,0.8152,0.0000,0.8217,0.1177
24,0.8518,0.0000,0.8714,0.0979,0.8468,0.0000,0.8670,0.0991
25,0.8693,0.0000,0.8865,0.0871,0.8552,0.0000,0.8749,0.0944
26,0.8749,0.0000,0.8910,0.0831,0.8542,0.0000,0.8744,0.0935
27,0.8780,0.0000,0.8940,0.0819,0.8582,0.0000,0.8775,0.0932
28,0.8799,0.0000,0.8957,0.0812,0.8606,0.0000,0.8778,0.0911
29,0.8799,0.0000,0.8956,0.0806,0.8583,0.0000,0.8794,0.0929
30,0.8786,0.0000,0.8948,0.0815,0.8612,0.0000,0.8801,0.0908
31,0.8806,0.0000,0.8960,0.0805,0.8585,0.0000,0.8802,0.0921
32,0.8828,0.0000,0.8980,0.0792,0.8609,0.0000,0.8798,0.0912
33,0.8821,0.0000,0.8972,0.0799,0.8631,0.0000,0.8807,0.0895
34,0.8799,0.0000,0.8955,0.0809,0.8573,0.0000,0.8789,0.0949
35,0.8819,0.0000,0.8973,0.0801,0.8622,0.0000,0.8810,0.0902
36,0.8840,0.0000,0.8991,0.0780,0.8642,0.0000,0.8829,0.0885
37,0.8853,0.0000,0.8999,0.0769,0.8614,0.0000,0.8815,0.0913
38,0.8770,0.0000,0.8926,0.0829,0.8618,0.0000,0.8793,0.0915
39,0.8787,0.0000,0.8943,0.0807,0.8651,0.0000,0.8818,0.0895
40,0.8843,0.0000,0.8990,0.0782,0.8629,0.0000,0.8830,0.0897
41,0.8850,0.0000,0.9000,0.0777,0.8645,0.0000,0.8829,0.0880
42,0.8865,0.0000,0.9012,0.0764,0.8653,0.0000,0.8826,0.0890
43,0.8870,0.0000,0.9016,0.0768,0.8629,0.0000,0.8816,0.0893
44,0.8879,0.0000,0.9024,0.0762,0.8623,0.0000,0.8837,0.0908
45,0.8855,0.0000,0.9003,0.0773,0.8577,0.0000,0.8809,0.0935
46,0.8880,0.0000,0.9027,0.0755,0.8685,0.0000,0.8872,0.0868
47,0.8909,0.0000,0.9053,0.0744,0.8683,0.0000,0.8864,0.0865
48,0.8926,0.0000,0.9065,0.0731,0.8668,0.0000,0.8866,0.0876
49,0.8890,0.0000,0.9035,0.0748,0.8675,0.0000,0.8866,0.0873
