epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6935,0.0000,0.7352,0.1780,0.7086,0.0000,0.7711,0.1710
1,0.7373,0.0000,0.7806,0.1609,0.7258,0.0000,0.7735,0.1640
2,0.7428,0.0000,0.7825,0.1564,0.7327,0.0000,0.7743,0.1597
3,0.7461,0.0000,0.7835,0.1541,0.7358,0.0000,0.7829,0.1599
4,0.7502,0.0000,0.7880,0.1522,0.7326,0.0000,0.7822,0.1595
5,0.7545,0.0000,0.7907,0.1500,0.7349,0.0000,0.7853,0.1574
6,0.7576,0.0000,0.7937,0.1484,0.7429,0.0000,0.7819,0.1557
7,0.7610,0.0000,0.7941,0.1495,0.7485,0.0000,0.7901,0.1532
8,0.7605,0.0000,0.7945,0.1478,0.7467,0.0000,0.7889,0.1535
9,0.7612,0.0000,0.7970,0.1482,0.7502,0.0000,0.7867,0.1524
10,0.7600,0.0000,0.7950,0.1479,0.7534,0.0000,0.7872,0.1507
11,0.7605,0.0000,0.7947,0.1460,0.7306,0.0000,0.7419,0.1620
12,0.7629,0.0000,0.7935,0.1469,0.7486,0.0000,0.7931,0.1518
13,0.7666,0.0000,0.7999,0.1453,0.7508,0.0000,0.7879,0.1515
14,0.7715,0.0000,0.8043,0.1431,0.7562,0.0000,0.7916,0.1493
15,0.7672,0.0000,0.8002,0.1459,0.7506,0.0000,0.7965,0.1526
16,0.7665,0.0000,0.8002,0.1446,0.7561,0.0000,0.7839,0.1510
17,0.7717,0.0000,0.8033,0.1439,0.7540,0.0000,0.7933,0.1494
18,0.7663,0.0000,0.8001,0.1446,0.7593,0.0000,0.7988,0.1485
19,0.7706,0.0000,0.8032,0.1444,0.7580,0.0000,0.7912,0.1493
20,0.7731,0.0000,0.8058,0.1426,0.7594,0.0000,0.7995,0.1481
21,0.7704,0.0000,0.8040,0.1435,0.7576,0.0000,0.7915,0.1483
22,0.7708,0.0000,0.8028,0.1432,0.7585,0.0000,0.7926,0.1479
23,0.7630,0.0000,0.7935,0.1487,0.7546,0.0000,0.7962,0.1506
24,0.7619,0.0000,0.7962,0.1442,0.7538,0.0000,0.7811,0.1491
25,0.7693,0.0000,0.8027,0.1436,0.7564,0.0000,0.7904,0.1475
26,0.7718,0.0000,0.8042,0.1422,0.7543,0.0000,0.7996,0.1501
27,0.7692,0.0000,0.8024,0.1444,0.7568,0.0000,0.7951,0.1472
28,0.7721,0.0000,0.8046,0.1415,0.7593,0.0000,0.8005,0.1484
29,0.7699,0.0000,0.8037,0.1420,0.7554,0.0000,0.7921,0.1488
30,0.7703,0.0000,0.8033,0.1434,0.7569,0.0000,0.7880,0.1477
31,0.7729,0.0000,0.8046,0.1419,0.7514,0.0000,0.7962,0.1511
32,0.7737,0.0000,0.8062,0.1423,0.7559,0.0000,0.7893,0.1480
33,0.7698,0.0000,0.8025,0.1438,0.7534,0.0000,0.7987,0.1500
34,0.7712,0.0000,0.8042,0.1421,0.7608,0.0000,0.7904,0.1470
35,0.7730,0.0000,0.8049,0.1410,0.7609,0.0000,0.7960,0.1460
36,0.7715,0.0000,0.8043,0.1414,0.7522,0.0000,0.7986,0.1509
37,0.7726,0.0000,0.8041,0.1417,0.7635,0.0000,0.7986,0.1465
38,0.7736,0.0000,0.8059,0.1406,0.7550,0.0000,0.7963,0.1479
39,0.7731,0.0000,0.8051,0.1407,0.7604,0.0000,0.7977,0.1471
40,0.7719,0.0000,0.8048,0.1428,0.7535,0.0000,0.7989,0.1509
41,0.7690,0.0000,0.8028,0.1410,0.7588,0.0000,0.7897,0.1465
42,0.7710,0.0000,0.8017,0.1430,0.7602,0.0000,0.7949,0.1475
43,0.7742,0.0000,0.8053,0.1418,0.7608,0.0000,0.8002,0.1474
44,0.7721,0.0000,0.8046,0.1415,0.7583,0.0000,0.7997,0.1482
45,0.7643,0.0000,0.7975,0.1440,0.7430,0.0000,0.7616,0.1538
46,0.7669,0.0000,0.7986,0.1424,0.7548,0.0000,0.7798,0.1499
47,0.7732,0.0000,0.8040,0.1420,0.7600,0.0000,0.7953,0.1467
48,0.7752,0.0000,0.8074,0.1409,0.7546,0.0000,0.7980,0.1482
49,0.7631,0.0000,0.7994,0.1424,0.7605,0.0000,0.7971,0.1464
