epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7095,0.0000,0.7431,0.1732,0.7291,0.0000,0.7551,0.1610
1,0.7571,0.0000,0.7836,0.1450,0.7439,0.0000,0.7726,0.1544
2,0.7616,0.0000,0.7858,0.1422,0.7559,0.0000,0.7849,0.1455
3,0.7666,0.0000,0.7921,0.1385,0.7702,0.0000,0.7965,0.1386
4,0.7970,0.0000,0.8236,0.1262,0.7761,0.0000,0.8047,0.1361
5,0.7914,0.0000,0.8176,0.1294,0.7683,0.0000,0.7934,0.1356
6,0.7962,0.0000,0.8227,0.1256,0.7873,0.0000,0.8129,0.1299
7,0.7959,0.0000,0.8205,0.1252,0.7899,0.0000,0.8153,0.1275
8,0.8018,0.0000,0.8234,0.1213,0.7904,0.0000,0.8149,0.1250
9,0.8108,0.0000,0.8344,0.1182,0.7911,0.0000,0.8154,0.1267
10,0.8068,0.0000,0.8307,0.1206,0.7851,0.0000,0.8112,0.1284
11,0.8179,0.0000,0.8400,0.1129,0.7968,0.0000,0.8213,0.1227
12,0.8125,0.0000,0.8364,0.1151,0.7936,0.0000,0.8181,0.1232
13,0.8159,0.0000,0.8392,0.1141,0.7936,0.0000,0.8186,0.1230
14,0.8140,0.0000,0.8371,0.1160,0.7966,0.0000,0.8195,0.1217
15,0.8174,0.0000,0.8404,0.1140,0.7968,0.0000,0.8218,0.1229
16,0.8238,0.0000,0.8463,0.1108,0.7998,0.0000,0.8238,0.1217
17,0.8210,0.0000,0.8432,0.1118,0.7912,0.0000,0.8135,0.1257
18,0.8164,0.0000,0.8381,0.1134,0.7993,0.0000,0.8228,0.1204
19,0.8224,0.0000,0.8437,0.1106,0.7975,0.0000,0.8217,0.1223
20,0.8088,0.0000,0.8315,0.1172,0.7790,0.0000,0.8039,0.1311
21,0.8013,0.0000,0.8233,0.1221,0.7950,0.0000,0.8195,0.1231
22,0.8109,0.0000,0.8342,0.1157,0.7967,0.0000,0.8200,0.1240
23,0.8063,0.0000,0.8271,0.1184,0.7989,0.0000,0.8232,0.1233
24,0.8114,0.0000,0.8327,0.1160,0.7972,0.0000,0.8205,0.1236
25,0.8179,0.0000,0.8396,0.1124,0.7991,0.0000,0.8225,0.1217
26,0.8259,0.0000,0.8471,0.1091,0.7998,0.0000,0.8224,0.1210
27,0.8201,0.0000,0.8416,0.1117,0.7989,0.0000,0.8228,0.1224
28,0.8232,0.0000,0.8444,0.1112,0.7931,0.0000,0.8152,0.1226
29,0.8110,0.0000,0.8333,0.1151,0.8019,0.0000,0.8254,0.1220
30,0.8200,0.0000,0.8405,0.1111,0.8004,0.0000,0.8235,0.1231
31,0.8157,0.0000,0.8372,0.1134,0.7966,0.0000,0.8210,0.1225
32,0.8137,0.0000,0.8367,0.1140,0.7747,0.0000,0.8008,0.1363
33,0.8066,0.0000,0.8294,0.1213,0.7888,0.0000,0.8137,0.1300
34,0.8073,0.0000,0.8294,0.1186,0.7819,0.0000,0.8075,0.1314
35,0.7992,0.0000,0.8252,0.1311,0.7874,0.0000,0.8140,0.1343
36,0.8138,0.0000,0.8379,0.1217,0.7895,0.0000,0.8128,0.1302
37,0.8139,0.0000,0.8358,0.1175,0.8031,0.0000,0.8265,0.1204
38,0.8194,0.0000,0.8422,0.1146,0.7830,0.0000,0.8090,0.1356
39,0.8148,0.0000,0.8362,0.1144,0.7896,0.0000,0.8140,0.1265
40,0.8175,0.0000,0.8395,0.1134,0.7943,0.0000,0.8186,0.1216
41,0.8071,0.0000,0.8287,0.1162,0.8006,0.0000,0.8235,0.1197
42,0.8222,0.0000,0.8422,0.1089,0.8005,0.0000,0.8230,0.1193
43,0.8268,0.0000,0.8489,0.1087,0.8013,0.0000,0.8256,0.1197
44,0.8273,0.0000,0.8484,0.1080,0.8045,0.0000,0.8282,0.1194
45,0.8292,0.0000,0.8498,0.1079,0.7811,0.0000,0.8068,0.1394
46,0.8072,0.0000,0.8302,0.1229,0.7771,0.0000,0.8003,0.1325
47,0.8081,0.0000,0.8296,0.1180,0.8004,0.0000,0.8240,0.1208
48,0.8168,0.0000,0.8389,0.1151,0.8042,0.0000,0.8274,0.1188
49,0.8267,0.0000,0.8479,0.1091,0.8059,0.0000,0.8296,0.1182
