epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7286,0.0000,0.7618,0.1606,0.7486,0.0000,0.7778,0.1468
1,0.7710,0.0000,0.7955,0.1351,0.7537,0.0000,0.7856,0.1436
2,0.7859,0.0000,0.8133,0.1303,0.7647,0.0000,0.7929,0.1392
3,0.7898,0.0000,0.8173,0.1308,0.7795,0.0000,0.8068,0.1379
4,0.8010,0.0000,0.8238,0.1258,0.7827,0.0000,0.8101,0.1352
5,0.8085,0.0000,0.8331,0.1220,0.7822,0.0000,0.8093,0.1328
6,0.8050,0.0000,0.8301,0.1215,0.7828,0.0000,0.8059,0.1298
7,0.8075,0.0000,0.8303,0.1192,0.7543,0.0000,0.7814,0.1446
8,0.7939,0.0000,0.8174,0.1280,0.7820,0.0000,0.8065,0.1340
9,0.8056,0.0000,0.8291,0.1233,0.7924,0.0000,0.8183,0.1283
10,0.8097,0.0000,0.8322,0.1187,0.7750,0.0000,0.8005,0.1361
11,0.8016,0.0000,0.8253,0.1239,0.7863,0.0000,0.8098,0.1314
12,0.8082,0.0000,0.8292,0.1203,0.7853,0.0000,0.8110,0.1294
13,0.8184,0.0000,0.8407,0.1145,0.7888,0.0000,0.8132,0.1281
14,0.8125,0.0000,0.8351,0.1178,0.7603,0.0000,0.7890,0.1489
15,0.7665,0.0000,0.7945,0.1502,0.7746,0.0000,0.8008,0.1393
16,0.8054,0.0000,0.8294,0.1257,0.7878,0.0000,0.8104,0.1296
17,0.8121,0.0000,0.8326,0.1170,0.7826,0.0000,0.8109,0.1324
18,0.8003,0.0000,0.8261,0.1239,0.7943,0.0000,0.8186,0.1260
19,0.8099,0.0000,0.8341,0.1185,0.7810,0.0000,0.8057,0.1335
20,0.8162,0.0000,0.8373,0.1158,0.7926,0.0000,0.8160,0.1258
21,0.8143,0.0000,0.8365,0.1159,0.7992,0.0000,0.8230,0.1229
22,0.8221,0.0000,0.8418,0.1115,0.7966,0.0000,0.8214,0.1248
23,0.8153,0.0000,0.8381,0.1165,0.7982,0.0000,0.8225,0.1230
24,0.8076,0.0000,0.8314,0.1203,0.7825,0.0000,0.8090,0.1314
25,0.8131,0.0000,0.8365,0.1177,0.7918,0.0000,0.8155,0.1262
26,0.8182,0.0000,0.8412,0.1150,0.8016,0.0000,0.8258,0.1237
27,0.8079,0.0000,0.8282,0.1196,0.7969,0.0000,0.8199,0.1241
28,0.8120,0.0000,0.8314,0.1171,0.7994,0.0000,0.8230,0.1234
29,0.8156,0.0000,0.8386,0.1145,0.7986,0.0000,0.8222,0.1227
30,0.8173,0.0000,0.8396,0.1121,0.7973,0.0000,0.8215,0.1237
31,0.8235,0.0000,0.8441,0.1108,0.7902,0.0000,0.8165,0.1294
32,0.8188,0.0000,0.8417,0.1155,0.7907,0.0000,0.8154,0.1273
33,0.8174,0.0000,0.8393,0.1152,0.7931,0.0000,0.8188,0.1264
34,0.8082,0.0000,0.8319,0.1217,0.7935,0.0000,0.8194,0.1275
35,0.8059,0.0000,0.8298,0.1249,0.7882,0.0000,0.8136,0.1341
36,0.8145,0.0000,0.8371,0.1214,0.7874,0.0000,0.8118,0.1335
37,0.8114,0.0000,0.8343,0.1188,0.7857,0.0000,0.8095,0.1311
38,0.8137,0.0000,0.8360,0.1176,0.7875,0.0000,0.8107,0.1302
39,0.8155,0.0000,0.8366,0.1163,0.7943,0.0000,0.8188,0.1274
40,0.8192,0.0000,0.8420,0.1141,0.7995,0.0000,0.8229,0.1238
41,0.8259,0.0000,0.8483,0.1112,0.7980,0.0000,0.8239,0.1254
42,0.8173,0.0000,0.8400,0.1151,0.7998,0.0000,0.8260,0.1224
43,0.8284,0.0000,0.8512,0.1100,0.8008,0.0000,0.8251,0.1223
44,0.8208,0.0000,0.8420,0.1119,0.8010,0.0000,0.8237,0.1210
45,0.8223,0.0000,0.8429,0.1108,0.8005,0.0000,0.8244,0.1214
46,0.8263,0.0000,0.8481,0.1081,0.7930,0.0000,0.8176,0.1247
47,0.8324,0.0000,0.8543,0.1073,0.7925,0.0000,0.8170,0.1277
48,0.8188,0.0000,0.8402,0.1133,0.8006,0.0000,0.8233,0.1213
49,0.8254,0.0000,0.8465,0.1103,0.8024,0.0000,0.8267,0.1212
